,link-href,product_name,product_star,product_sales,product_like,product_price,customer_gender,customer_height,customer_weight,fit,size,popular_age,popular_gender
0,https://www.musinsa.com/app/goods/1747033,트레포일 레깅스 - 블랙 / DV2636,4.8,1700,5081,49000,1,163,43,0,S ,19~28,1
1,https://www.musinsa.com/app/goods/1747033,트레포일 레깅스 - 블랙 / DV2636,4.8,1700,5081,49000,1,167,50,0,S ,19~28,1
2,https://www.musinsa.com/app/goods/2382446,3ST 레깅스 - 블랙 / HD2350,4.9,200개 이상,862,39000,1,161,53,0,S ,19~28,1
3,https://www.musinsa.com/app/goods/1772551,히트기어 아머 레깅스 1361586-001,4.9,600개 이상,1001,45000,0,170,60,0,M ,19~28,0
4,https://www.musinsa.com/app/goods/1750213,플렉스 데일리 에센셜 레깅스 (BLACK),4.9,400개 이상,1182,59000,1,159,45,0,S ,19~28,1
5,https://www.musinsa.com/app/goods/1747033,트레포일 레깅스 - 블랙 / DV2636,4.8,1700,5081,49000,0,143,43,0,S ,19~28,1
6,https://www.musinsa.com/app/goods/2730004,에어쿨링 샤론 부츠컷 레깅스 숏_다크그레이프,5.0,,6,39000,,,,,,,
7,https://www.musinsa.com/app/goods/2010276,남성 쿨 에어 이너 타이즈 블랙,4.9,600개 이상,424,49000,0,165,65,0,쿨 에어 이너 타이즈 블랙M ,19~28,0
8,https://www.musinsa.com/app/goods/1750213,플렉스 데일리 에센셜 레깅스 (BLACK),4.9,400개 이상,1182,59000,1,156,42,0,XS ,19~28,1
9,https://www.musinsa.com/app/goods/1755971,3 스트라이프 레깅스 - 블랙 / GN4504,4.7,6200,11578,39000,1,166,51,0,S ,19~28,1
10,https://www.musinsa.com/app/goods/2380270,5부 컴프레션 레깅스,4.8,200개 이상,92,15400,0,163,60,0,네이비 M ,40 이상,0
11,https://www.musinsa.com/app/goods/2010276,남성 쿨 에어 이너 타이즈 블랙,4.9,600개 이상,424,49000,0,172,58,0,쿨 에어 이너 타이즈 블랙M ,19~28,0
12,https://www.musinsa.com/app/goods/1165926,프로 남자 레깅스 타이즈 헬스복 (블랙),4.8,1300,2177,79000,0,181,75,0,090XL ,19~28,0
13,https://www.musinsa.com/app/goods/2008629,에어무스 조거핏 레깅스_메티오블랙_(AKSPT-66BLK),4.8,300개 이상,623,49000,1,168,60,0,4 ,19~28,1
14,https://www.musinsa.com/app/goods/2010276,남성 쿨 에어 이너 타이즈 블랙,4.9,600개 이상,424,49000,0,180,73,0,쿨 에어 이너 타이즈 블랙XL ,19~28,0
15,https://www.musinsa.com/app/goods/2382888,로고 9부 컴프레션 레깅스,4.8,400개 이상,138,17400,0,180,63,0,로고8.5부컴프레션레깅스_블랙 M ,24~33,0
16,https://www.musinsa.com/app/goods/2730074,에어쿨링 지니 시그니처 8.2부 레깅스_딥나이트,4.9,,4,39000,,,,,,,
17,https://www.musinsa.com/app/goods/1165926,프로 남자 레깅스 타이즈 헬스복 (블랙),4.8,1300,2177,79000,0,176,70,2,085L ,19~28,0
18,https://www.musinsa.com/app/goods/1466284,컴프레션 타이즈 [블랙],4.8,6300,4188,21900,0,172,68,0,M ,19~28,0
19,https://www.musinsa.com/app/goods/2741360,VOLTAGE EXCEL FULL LENGTH LEGGINGS[062216],,,0,198000,,,,,,,
20,https://www.musinsa.com/app/goods/1343729,우먼즈 9부 요가 레깅스 [블랙],4.8,600개 이상,2127,24900,1,166,56,0,M ,19~28,1
21,https://www.musinsa.com/app/goods/1750213,플렉스 데일리 에센셜 레깅스 (BLACK),4.9,400개 이상,1182,59000,1,163,52,0,M ,19~28,1
22,https://www.musinsa.com/app/goods/1747033,트레포일 레깅스 - 블랙 / DV2636,4.8,1700,5081,49000,1,153,50,0,XS ,19~28,1
23,https://www.musinsa.com/app/goods/2010276,남성 쿨 에어 이너 타이즈 블랙,4.9,600개 이상,424,49000,0,167,70,0,쿨 에어 이너 타이즈 블랙L ,19~28,0
24,https://www.musinsa.com/app/goods/1094829,여성 요가복 DEVI-B0023-블랙 필라테스 레깅스 9부 팬츠,4.5,300개 이상,972,19000,1,160,50,0,S ,19~28,1
25,https://www.musinsa.com/app/goods/1165926,프로 남자 레깅스 타이즈 헬스복 (블랙),4.8,1300,2177,79000,0,165,60,0,080M ,19~28,0
26,https://www.musinsa.com/app/goods/1838979,하이브리드 팬츠 1352029-001,4.9,400개 이상,323,89000,0,180,75,0,L ,24~33,0
27,https://www.musinsa.com/app/goods/1838979,하이브리드 팬츠 1352029-001,4.9,400개 이상,323,89000,0,185,88,0,XXL ,24~33,0
28,https://www.musinsa.com/app/goods/2382888,로고 9부 컴프레션 레깅스,4.8,400개 이상,138,17400,0,173,60,0,로고8.5부컴프레션레깅스_블랙 M ,24~33,0
