,link-href,product_name,product_star,product_sales,product_like,product_price,customer_gender,customer_height,customer_weight,fit,size,popular_age,popular_gender
0,https://www.musinsa.com/app/goods/947088,후디드 스웨트 집업 [멜란지 그레이],4.8,21000,25983,34900,1,166,61,1,XL ,19~28,0
1,https://www.musinsa.com/app/goods/2385875,Essential 오버핏 2Way 후드집업 트레이닝 셋업,4.8,4500,9034,69800,0,180,65,0,후드집업 멜란지 XL ,23 이하,0
2,https://www.musinsa.com/app/goods/1344486,Classic Raglan Hoodie Zip Up [Grey],4.8,3300,7932,53000,0,172,75,0,XL ,19~28,0
3,https://www.musinsa.com/app/goods/2179932,오버 핏 후드 스웨트 집업 [멜란지 그레이],4.9,200,2017,47900,0,188,77,0,XL ,19~28,0
4,https://www.musinsa.com/app/goods/947087,후디드 스웨트 집업 [블랙],4.8,5300,5689,34900,0,179,95,0,L ,19~28,0
5,https://www.musinsa.com/app/goods/1778406,2WAY 스웻 후드 집업 (CHARCOAL),4.8,8500,20403,45000,1,164,54,0,S ,23 이하,0
6,https://www.musinsa.com/app/goods/1778406,2WAY 스웻 후드 집업 (CHARCOAL),4.8,8500,20403,45000,1,161,78,0,L ,23 이하,0
7,https://www.musinsa.com/app/goods/2061931,Velour Track Zip-Up Hoodie Navy/Gray,4.9,500개 이상,4676,82000,1,160,48,0,ONE SIZE ,19~23,1
8,https://www.musinsa.com/app/goods/2306853,레글런 스티치 후디 집업 멜란지 그레이,4.8,500개 이상,2051,89000,0,168,65,1,L ,40 이상,1
9,https://www.musinsa.com/app/goods/1803535,후디드 스웨트 집업 [멜란지 라이트 그레이],4.8,1300,1675,34900,0,174,73,0,L ,23 이하,0
10,https://www.musinsa.com/app/goods/2048646,클럽 후드집업 그레이,4.8,1800,5799,99000,1,158,53,1,그레이 L기모X ,18 이하,1
11,https://www.musinsa.com/app/goods/836980,와핑 후드집업 블랙 JJOT7203,4.7,2200,11144,41900,1,156,52,0,블랙 S ,23 이하,1
12,https://www.musinsa.com/app/goods/2048647,클럽 후드집업 블랙,4.8,2600,9495,99000,0,170,51,0,블랙 S기모X ,18 이하,1
13,https://www.musinsa.com/app/goods/2283932,CGP 아치 로고 후드 집업_그레이,4.8,3200,10702,69000,1,167,60,0,M ,23 이하,1
14,https://www.musinsa.com/app/goods/1196488,테크 스웨트 후디드 집업 [블랙],4.8,1800,1439,56900,1,165,55,0,M ,40 이상,0
15,https://www.musinsa.com/app/goods/2061931,Velour Track Zip-Up Hoodie Navy/Gray,4.9,500개 이상,4676,82000,1,155,49,0,ONE SIZE ,19~23,1
16,https://www.musinsa.com/app/goods/1196488,테크 스웨트 후디드 집업 [블랙],4.8,1800,1439,56900,0,179,75,2,XL ,40 이상,0
17,https://www.musinsa.com/app/goods/2287417,Signature crop hood zip-up - BLACK,4.8,2400,10885,87000,1,160,54,1,BLACK XS ,19~23,1
18,https://www.musinsa.com/app/goods/2122590,유스풀 벌룬 후드집업 블랙 SJHD1327,4.8,1500,2795,39800,0,176,80,0,블랙 2XL ,23 이하,0
19,https://www.musinsa.com/app/goods/1642916,헤비웨이트 오버사이즈 후디드 스웨트 집업 [미디엄 그레이],4.9,13000,12409,43900,0,165,62,0,M ,19~28,0
20,https://www.musinsa.com/app/goods/2287430,Signature hood zip-up - GREY,4.8,5700,17077,87000,1,162,62,1,GREY M ,23 이하,1
21,https://www.musinsa.com/app/goods/1174109,우먼즈 오버핏 후드 스웨트 집업 [멜란지 그레이],4.8,1200,4489,38900,1,160,55,0,L ,19~28,1
22,https://www.musinsa.com/app/goods/1134354,엔젤 와펜 집업 후드 블랙,4.8,14000,26307,79000,1,158,55,1,M ,40 이상,1
23,https://www.musinsa.com/app/goods/1629074,기모 후디드 스웨트 집업 [미디엄 그레이],4.8,2100,2276,38900,0,171,70,1,L ,19~28,0
24,https://www.musinsa.com/app/goods/1382869,(K122) 미드웨이트 후드집업 6컬러,4.7,1900,14451,127000,0,173,75,1,블랙 XL ,23 이하,1
25,https://www.musinsa.com/app/goods/2668986,[프렌치테리] 루즈핏 2-WAY 후드집업_SPMZC49U01,4.9,2400,4053,35900,1,156,46,1,33OATMEAL MELANGE S085 ,24~33,1
26,https://www.musinsa.com/app/goods/1788019,[블랙 워치] 코드 후드 집업 자켓,4.8,1500,3991,73200,0,180,85,0,L ,24~33,1
27,https://www.musinsa.com/app/goods/640838,스탠다드 후드 스웨트 집업 - 블랙,4.8,3400,7735,39900,1,176,83,0,L ,19~28,0
28,https://www.musinsa.com/app/goods/2385283,Essential 오버핏 2Way 후드집업,4.8,4400,9056,47800,0,178,78,0,멜란지 XL ,23 이하,1
29,https://www.musinsa.com/app/goods/1778406,2WAY 스웻 후드 집업 (CHARCOAL),4.8,8500,20403,45000,1,157,51,1,S기모 ,23 이하,0
30,https://www.musinsa.com/app/goods/1642914,헤비웨이트 오버사이즈 후디드 스웨트 집업 [블랙],4.9,5600,4311,43900,0,170,70,0,L ,19~28,0
31,https://www.musinsa.com/app/goods/2179932,오버 핏 후드 스웨트 집업 [멜란지 그레이],4.9,200,2017,47900,0,181,79,0,L ,19~28,0
32,https://www.musinsa.com/app/goods/1196488,테크 스웨트 후디드 집업 [블랙],4.8,1800,1439,56900,0,178,73,0,XL ,40 이상,0
33,https://www.musinsa.com/app/goods/2385285,Essential 오버핏 2Way 후드집업,4.8,400개 이상,1265,47800,0,173,66,0,화이트멜란지 XL ,23 이하,1
34,https://www.musinsa.com/app/goods/1778404,2WAY 스웻 후드 집업 (MELANGE GREY),4.8,149000,130768,45000,0,168,43,0,S ,19~23,0
35,https://www.musinsa.com/app/goods/2126173,우먼즈 후디드 스웨트 집업 [미디엄 그레이],4.9,1900,3167,34900,1,170,57,0,L ,19~23,1
