,link-href,product_name,product_star,product_sales,product_like,product_price,customer_gender,customer_height,customer_weight,fit,size,popular_age,popular_gender
0,https://www.musinsa.com/app/goods/2314616,에센셜 후드 스웻 셔츠 (MELANGE GREY),4.8,6400,10336,43000,0,181,78,0,XL ,23 이하,0
1,https://www.musinsa.com/app/goods/1615829,로그 오버핏 기모 후드 그레이 YHHD2302,4.8,33000,54757,36800,1,164,49,0,그레이 M ,19~28,0
2,https://www.musinsa.com/app/goods/1676080,아크 로고 후디 (네이비),4.9,5800,15957,72000,0,170,65,0,L ,19~28,0
3,https://www.musinsa.com/app/goods/2106707,슬레이크 후드 네이비 HHHD3397,4.9,12000,22711,41900,1,170,48,0,네이비 L ,23 이하,1
4,https://www.musinsa.com/app/goods/2099882,미시간 울버린 피그먼트 후드티 블랙 차콜,4.8,22000,51550,79000,0,174,73,0,NO기모EXTRA LARGE ,23 이하,1
5,https://www.musinsa.com/app/goods/2115266,하비스트 오버핏 기모 후드 차콜 OYHD2393,4.9,3400,8061,41900,0,172,85,1,차콜 L ,19~28,0
6,https://www.musinsa.com/app/goods/2111382,[패키지] NYC LOCATION HOOD T-SHIRTS (12COLOR) [LRQSCTH331M],4.8,300,5759,138000,0,180,83,0,블랙 L ,23 이하,0
7,https://www.musinsa.com/app/goods/2043036,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_멜란지그레이,4.8,2000,62791,97900,1,166,47,0,S후드 ,23 이하,1
8,https://www.musinsa.com/app/goods/644026,사인 로고 후드 그레이,4.8,18000,60051,69000,0,173,63,0,L ,23 이하,1
9,https://www.musinsa.com/app/goods/2326935,(22FW) 2 TONE ARCH HOODIE GRAY,4.8,12000,23238,79000,0,172,58,0,M논기모 ,19~23,0
10,https://www.musinsa.com/app/goods/1742661,(22FW) 2 TONE ARCH HOODIE BLACK,4.8,9900,21008,79000,0,179,78,0,L논기모 ,23 이하,0
11,https://www.musinsa.com/app/goods/1174227,페이스 로고 엠브로이더드 후디 (네이비),4.8,2200,12346,72000,1,158,57,1,M ,19~23,0
12,https://www.musinsa.com/app/goods/1738717,미드나잇 후드 다크그레이 MJHD7447,4.8,11000,29681,39800,0,168,60,0,다크그레이 S ,19~28,1
13,https://www.musinsa.com/app/goods/1211169,UNISEX LAUREL OVERSIZED HOODIE BLACK,4.8,9600,26319,69000,0,175,62,0,L ,23 이하,0
14,https://www.musinsa.com/app/goods/2106706,슬레이크 후드 블랙 HHHD3397,4.9,5600,8803,41900,0,174,70,0,블랙 XL ,19~28,1
15,https://www.musinsa.com/app/goods/2043053,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_블랙,4.8,5200,12172,97900,0,170,55,0,L ,23 이하,1
16,https://www.musinsa.com/app/goods/2099882,미시간 울버린 피그먼트 후드티 블랙 차콜,4.8,22000,51550,79000,0,174,84,0,NO기모LARGE ,23 이하,1
17,https://www.musinsa.com/app/goods/421550,레터링 타투 후드 기모 블랙,4.7,1400,18302,72000,0,170,58,0,노기모L ,23 이하,0
18,https://www.musinsa.com/app/goods/1642903,헤비웨이트 오버사이즈 후디드 스웨트셔츠 [블랙],4.9,6100,4253,37900,1,175,107,0,2XL ,19~28,0
19,https://www.musinsa.com/app/goods/1622019,베츠 어센틱 후드 그레이,4.8,11000,27589,79000,0,173,74,0,L ,23 이하,1
20,https://www.musinsa.com/app/goods/1571479,빅 트위치 루즈핏 후드 티셔츠 블랙,4.8,8200,24647,79000,1,151,49,1,S ,23 이하,1
21,https://www.musinsa.com/app/goods/1622019,베츠 어센틱 후드 그레이,4.8,11000,27589,79000,1,155,55,0,S ,23 이하,1
22,https://www.musinsa.com/app/goods/624932,[Mmlg] 19MG HOOD (EVERY GREY),4.8,13000,45728,82000,1,160,47,1,M 기모X ,19~28,1
23,https://www.musinsa.com/app/goods/1211169,UNISEX LAUREL OVERSIZED HOODIE BLACK,4.8,9600,26319,69000,0,175,54,0,M ,23 이하,0
24,https://www.musinsa.com/app/goods/1571510,스몰 트위치 로고 에어로웜 오버핏 후드 티셔츠 멜란지 그레이,4.8,14000,32005,79000,0,175,76,0,L ,19~28,0
25,https://www.musinsa.com/app/goods/644026,사인 로고 후드 그레이,4.8,18000,60051,69000,1,160,55,0,M ,23 이하,1
26,https://www.musinsa.com/app/goods/1676080,아크 로고 후디 (네이비),4.9,5800,15957,72000,1,162,55,1,M ,19~28,0
27,https://www.musinsa.com/app/goods/421550,레터링 타투 후드 기모 블랙,4.7,1400,18302,72000,0,184,80,0,노기모XL ,23 이하,0
28,https://www.musinsa.com/app/goods/2111382,[패키지] NYC LOCATION HOOD T-SHIRTS (12COLOR) [LRQSCTH331M],4.8,300,5759,138000,1,156,58,1,민트 XL ,23 이하,0
29,https://www.musinsa.com/app/goods/2099882,미시간 울버린 피그먼트 후드티 블랙 차콜,4.8,22000,51550,79000,0,180,77,0,NO기모LARGE ,23 이하,1
30,https://www.musinsa.com/app/goods/1535843,엔비엘 로고 후드티 (그레이),4.7,4400,14128,119000,0,172,55,1,기모 MAN ,23 이하,0
31,https://www.musinsa.com/app/goods/1717771,(22FW) (YALE HEAVYWEIGHT) MIXED HOODIE NAVY,4.8,5100,24693,89000,1,157,56,0,M기모 ,23 이하,0
32,https://www.musinsa.com/app/goods/2106704,슬레이크 후드 화이트오트밀 HHHD3397,4.9,7100,14806,41900,1,160,70,0,화이트오트밀 L ,23 이하,1
33,https://www.musinsa.com/app/goods/2314617,에센셜 후드 스웻 셔츠 (BLACK),4.8,1900,2215,43000,0,177,69,0,M ,19~28,0
34,https://www.musinsa.com/app/goods/2105452,980g pigment CUT hood-chacoal-,4.9,3400,4785,108000,0,175,66,0,XL ,24~33,0
35,https://www.musinsa.com/app/goods/1571500,빅 트위치 루즈핏 후드 티셔츠 그레이,4.8,11000,38801,79000,0,178,75,0,L ,23 이하,1
36,https://www.musinsa.com/app/goods/1574201,TAG HOODIE - ASH,4.9,7900,20561,79000,1,160,42,1,S쭈리 ,23 이하,1
37,https://www.musinsa.com/app/goods/449529,[패키지]제이 양기모후드 패키지(HJHD2050),4.8,1600,10244,71800,0,175,63,0,그레이 L ,19~28,1
38,https://www.musinsa.com/app/goods/2043588,DOODLE LOGO HOODIE - BLACK,4.9,5900,17991,87000,1,163,53,1,M ,23 이하,0
39,https://www.musinsa.com/app/goods/1742661,(22FW) 2 TONE ARCH HOODIE BLACK,4.8,9900,21008,79000,0,176,68,0,M논기모 ,23 이하,0
40,https://www.musinsa.com/app/goods/1666085,(22FW) 2 TONE ARCH HOODIE NAVY,4.8,13000,20148,79000,0,182,79,0,XL논기모 ,19~28,0
41,https://www.musinsa.com/app/goods/2348247,뉴필드 후드 검정 SMHD4457,4.9,1600,3910,48900,1,170,60,0,검정 L ,23 이하,0
42,https://www.musinsa.com/app/goods/2060994,REVERSE HEAVY HOOD  SWEAT_3% MELANGE GRAY,4.9,7600,8614,89000,0,174,64,0,M ,24~33,0
43,https://www.musinsa.com/app/goods/2348242,뉴필드 후드 회색 SMHD4457,4.9,1800,4023,48900,0,185,85,1,회색 2XL ,19~28,0
44,https://www.musinsa.com/app/goods/2106706,슬레이크 후드 블랙 HHHD3397,4.9,5600,8803,41900,0,173,80,0,블랙 XL ,19~28,1
45,https://www.musinsa.com/app/goods/282220,제이윈 덤블 기모후드 그레이(KHHD0748),4.8,100,10931,34900,0,188,80,2,그레이 2XL ,19~28,0
46,https://www.musinsa.com/app/goods/849836,SMALL SIGN LOGO HOOD BLACK,4.8,4400,16675,69000,0,175,80,0,L ,23 이하,1
