,link-href,product_name,product_star,product_sales,product_like,product_price,customer_gender,customer_height,customer_weight,fit,size,popular_age,popular_gender
0,https://www.musinsa.com/app/goods/1817394,[3-PACK]베이직 트래블러 피그먼트 스웨트셔츠,4.7,15000,30277,150000,0,170,69,1,NO기모LARGE ,19~28,0
1,https://www.musinsa.com/app/goods/1563621,C 로고 맨투맨 블랙,4.8,13000,22365,59000,0,181,65,0,L ,19~28,0
2,https://www.musinsa.com/app/goods/2313445,90S 트랙 스웨트셔츠_블랙,4.9,700개 이상,8505,85000,0,165,54,1,FREE ,19~28,1
3,https://www.musinsa.com/app/goods/2085371,[패키지] 헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 2PACK KJMT2369 / KJMT2400,4.8,27000,20385,63800,0,175,67,0,차콜 M ,19~28,0
4,https://www.musinsa.com/app/goods/1354131,V.S.C SWEAT(NAVY)_NAVY,4.8,2600,4810,73000,0,181,79,1,M ,19~28,0
5,https://www.musinsa.com/app/goods/1272201,LOCATION CREWNECK [IVORY],4.7,400,16254,58000,1,154,62,0,M ,19~28,0
6,https://www.musinsa.com/app/goods/2114319,ROUND LOGO CREWNECK SWEATSHIRT BLACK,4.8,5500,19275,59000,1,158,55,1,M NO기모 ,19~23,1
7,https://www.musinsa.com/app/goods/1155974,10주년 950g 10th mtm-deep black-[오버핏],4.8,2100,3741,68000,0,173,70,0,L ,19~28,0
8,https://www.musinsa.com/app/goods/1536398,[처비][미들 테리] 스트링 스웨트셔츠 차콜,4.8,3400,20702,49600,0,170,59,0,M ,19~28,0
9,https://www.musinsa.com/app/goods/644037,스몰 사인 로고 맨투맨 블랙,4.7,1000,32349,59000,1,168,66,0,M ,23 이하,0
10,https://www.musinsa.com/app/goods/2294700,C 로고 맨투맨 멜란지 그레이,4.8,100,1879,59000,0,175,60,0,L ,19~23,0
11,https://www.musinsa.com/app/goods/897632,캠프 바시티 피그먼트 스웨트셔츠 블루 섀도우,4.7,1000,50266,69000,0,178,75,0,NO기모EXTRA LARGE ,19~28,0
12,https://www.musinsa.com/app/goods/1642887,헤비웨이트 오버사이즈 스웨트셔츠 [블랙],4.9,1000,5901,28900,0,180,95,0,2XL ,24~33,0
13,https://www.musinsa.com/app/goods/1563623,C 로고 맨투맨 네이비,4.8,13000,31376,59000,0,180,71,0,L ,19~28,0
14,https://www.musinsa.com/app/goods/2083483,하프 집업 스웻셔츠 쇼츠세트-라이트그레이,4.8,1200,3820,103000,1,162,58,0,S여성 ,24~33,1
15,https://www.musinsa.com/app/goods/2328154,(22FW) UNIVERSITY DAN CREWNECK NAVY,4.9,2100,3193,72000,1,159,53,1,S논기모 ,19~23,0
16,https://www.musinsa.com/app/goods/1811945,스트라이프 럭비 맨투맨 네이비,4.8,5900,25735,79000,0,175,82,1,L ,19~28,0
17,https://www.musinsa.com/app/goods/2190732,우먼즈 크롭 베어프렌즈 엠보자수 맨투맨 오트밀(FCB3TS355W),4.9,6300,20564,79000,1,166,50,0,오트밀 M 쭈리 ,19~28,1
18,https://www.musinsa.com/app/goods/1595528,(22ALL) (BY P.E.DEPT) UNIVERSITY HANDSOME DAN CREWNECK NAVY,4.9,33000,68118,72000,1,176,64,0,L기모 ,19~28,0
19,https://www.musinsa.com/app/goods/2328113,(22FW) [ONEMILE WEAR] SMALL ARCH CREWNECK BLACK,4.8,1800,4182,59000,0,178,73,0,L논기모 ,19~28,0
