,link-href,product_name,product_star,product_sales,product_like,product_price,customer_gender,customer_height,customer_weight,fit,size,popular_age,popular_gender
0,https://www.musinsa.com/app/goods/1801113,22S/S 오버핏 피케티셔츠 (그레이블루),4.8,1100,1627,39000,0,178,76,0,L ,24~33,0
1,https://www.musinsa.com/app/goods/2491348,012502 솔리드 폴로 티셔츠,4.8,12000,3825,19800,1,158,56,0,12더스티민트 S ,24~33,0
2,https://www.musinsa.com/app/goods/2477667,[미나브X깡스타일리스트] 퓨어코튼 펀칭 카라 니트 [그린],4.8,9600,12070,75000,0,184,105,0,XXL ,19~28,0
3,https://www.musinsa.com/app/goods/2491348,012502 솔리드 폴로 티셔츠,4.8,12000,3825,19800,0,170,69,0,23블랙 M ,24~33,0
4,https://www.musinsa.com/app/goods/1387529,슬릿 넥 피케 폴로 셔츠 [머쉬룸],4.8,3600,4501,25900,0,173,66,0,M ,24~33,0
5,https://www.musinsa.com/app/goods/2477673,[미나브X깡스타일리스트] 퓨어코튼 펀칭 카라 니트 [아이보리],4.8,600,8280,75000,0,171,68,0,L ,19~28,0
6,https://www.musinsa.com/app/goods/1387529,슬릿 넥 피케 폴로 셔츠 [머쉬룸],4.8,3600,4501,25900,0,178,70,2,L ,24~33,0
7,https://www.musinsa.com/app/goods/1020313,오픈카라 티셔츠 [BEIGE],4.7,300개 이상,3374,42000,0,176,63,0,M ,24~33,0
8,https://www.musinsa.com/app/goods/2560853,[SET] 아치로고 카라 맨투맨 셋업_네이비,4.8,400개 이상,1270,104000,1,162,55,0,M ,19~28,0
9,https://www.musinsa.com/app/goods/2620773,NSW 클럽 매치업 카라티 CJ4457-010,4.9,1200,4049,59000,0,178,77,0,블랙 L100 ,23 이하,0
10,https://www.musinsa.com/app/goods/2469148,[UNISEX]플라워 베어 스마일 자수 화이트 클립 피케 반팔티셔츠_블랙,4.8,1500,3208,51000,0,175,76,0,BLACK L ,19~28,0
11,https://www.musinsa.com/app/goods/763197,오픈카라 티셔츠 [BLACK],4.7,1900,6594,42000,0,182,78,0,XL ,24~33,0
12,https://www.musinsa.com/app/goods/2620773,NSW 클럽 매치업 카라티 CJ4457-010,4.9,1200,4049,59000,0,182,72,0,블랙 M95 ,23 이하,0
13,https://www.musinsa.com/app/goods/855195,원버튼 더블 폴로 셔츠_BLACK,4.8,3800,12106,59000,0,165,68,0,2 ,24~28,0
14,https://www.musinsa.com/app/goods/2090757,오버사이즈 피케 스웨트셔츠 블랙,4.8,4200,5628,49600,0,177,73,0,M ,19~28,0
15,https://www.musinsa.com/app/goods/2477673,[미나브X깡스타일리스트] 퓨어코튼 펀칭 카라 니트 [아이보리],4.8,600,8280,75000,0,175,64,0,L ,19~28,0
16,https://www.musinsa.com/app/goods/2632015,NSW 클럽 매치업 카라티 CJ4457-100,4.9,400개 이상,1435,59000,0,170,55,0,화이트 L100 ,23 이하,0
17,https://www.musinsa.com/app/goods/1911513,핀스 오버핏 카라 반팔티 네이비 YHST2354,4.7,900개 이상,969,28900,0,184,82,1,네이비 L ,19~28,0
18,https://www.musinsa.com/app/goods/1419083,오픈 칼라 폴로 셔츠 [블랙],4.7,2200,4247,23900,0,170,70,0,L ,19~28,0
19,https://www.musinsa.com/app/goods/2697155,[SORONA] 블랙 벌룬핏 카라 맨투맨 IETS2F108BK,4.9,700개 이상,1830,79000,0,179,78,1,110 ,19~28,0
20,https://www.musinsa.com/app/goods/1451220,쿨 소프트 숏 슬리브 카라 니트 빈티지브라운,4.8,1400,2879,49000,0,171,66,0,M ,24~33,0
21,https://www.musinsa.com/app/goods/1947063,[UNISEX]플라워도트 자수 화이트 클립 피케 반팔티셔츠_블랙,4.8,4800,11910,51000,0,172,85,0,BLACK L ,19~28,0
22,https://www.musinsa.com/app/goods/1911512,핀스 오버핏 카라 반팔티 블랙 YHST2354,4.7,1300,1055,28900,1,166,65,1,블랙 M ,19~28,0
23,https://www.musinsa.com/app/goods/2491348,012502 솔리드 폴로 티셔츠,4.8,12000,3825,19800,0,170,59,0,07탄 L ,24~33,0
24,https://www.musinsa.com/app/goods/1871984,011502 폴로 피케 반팔티,4.8,4000,31359,16800,0,184,84,0,02버건디 XL ,19~28,0
25,https://www.musinsa.com/app/goods/1947063,[UNISEX]플라워도트 자수 화이트 클립 피케 반팔티셔츠_블랙,4.8,4800,11910,51000,0,178,65,0,BLACK M ,19~28,0
26,https://www.musinsa.com/app/goods/2391263,(우디) 자수 폴로카라 반팔 티셔츠_SPHWC24C04,4.8,13000,11245,29900,0,170,58,0,19BLACK S090 ,19~28,0
27,https://www.musinsa.com/app/goods/1801113,22S/S 오버핏 피케티셔츠 (그레이블루),4.8,1100,1627,39000,0,179,71,0,L ,24~33,0
28,https://www.musinsa.com/app/goods/1387529,슬릿 넥 피케 폴로 셔츠 [머쉬룸],4.8,3600,4501,25900,0,179,77,0,L ,24~33,0
29,https://www.musinsa.com/app/goods/2731327,엔젤 카라 럭비 롱슬리브 블랙,,,99,69000,,,,,,,
30,https://www.musinsa.com/app/goods/1946987,[UNISEX]플라워도트 자수 화이트 클립 피케 반팔티셔츠_화이트,4.8,900개 이상,2114,51000,0,177,85,0,WHITE M ,19~28,0
31,https://www.musinsa.com/app/goods/1451220,쿨 소프트 숏 슬리브 카라 니트 빈티지브라운,4.8,1400,2879,49000,0,180,78,0,XL ,24~33,0
32,https://www.musinsa.com/app/goods/1387529,슬릿 넥 피케 폴로 셔츠 [머쉬룸],4.8,3600,4501,25900,0,184,79,2,XL ,24~33,0
33,https://www.musinsa.com/app/goods/1451222,쿨 소프트 숏 슬리브 카라 니트 오트밀,4.8,2700,8349,49000,0,170,60,0,S ,24~33,0
34,https://www.musinsa.com/app/goods/855195,원버튼 더블 폴로 셔츠_BLACK,4.8,3800,12106,59000,0,173,67,0,2 ,24~28,0
35,https://www.musinsa.com/app/goods/1946987,[UNISEX]플라워도트 자수 화이트 클립 피케 반팔티셔츠_화이트,4.8,900개 이상,2114,51000,0,172,58,0,WHITE M ,19~28,0
36,https://www.musinsa.com/app/goods/1020313,오픈카라 티셔츠 [BEIGE],4.7,300개 이상,3374,42000,0,174,66,0,L ,24~33,0
37,https://www.musinsa.com/app/goods/1066105,오픈카라 티셔츠 [TURQUOISE BLUE],4.7,900개 이상,4176,42000,0,175,70,0,L ,24~33,0
38,https://www.musinsa.com/app/goods/2469148,[UNISEX]플라워 베어 스마일 자수 화이트 클립 피케 반팔티셔츠_블랙,4.8,1500,3208,51000,0,168,58,0,BLACK S ,19~28,0
39,https://www.musinsa.com/app/goods/1451222,쿨 소프트 숏 슬리브 카라 니트 오트밀,4.8,2700,8349,49000,0,168,65,0,M ,24~33,0
40,https://www.musinsa.com/app/goods/1950490,클래식 피케 카라 티셔츠 [화이트],4.8,400개 이상,501,45500,1,164,63,0,100 ,19~28,0
41,https://www.musinsa.com/app/goods/1220360,K570 포켓 반팔 카라 폴로티,4.8,4800,16401,79000,0,181,70,0,블랙 L ,19~28,0
42,https://www.musinsa.com/app/goods/1031257,22S/S 오버핏 피케티셔츠 (카키),4.8,1400,4485,39000,0,170,67,0,M ,24~33,0
43,https://www.musinsa.com/app/goods/2582946,오버사이즈 피케 하프 스웨트 그린,4.8,6300,7652,38400,0,173,85,0,L ,19~28,0
