,link-href,product_name,product_star,product_sales,product_like,product_price,customer_gender,customer_height,customer_weight,fit,size,popular_age,popular_gender
0,https://www.musinsa.com/app/goods/1920860,릴렉스드 슬리브리스 탑 [블랙],4.9,2900,1156,15900,0,178,77,1,2XL ,24~33,0
1,https://www.musinsa.com/app/goods/2533575,WOMEN 이너 나시 탱크탑  레이어드 티 [BLACK],4.6,300개 이상,1884,23000,1,168,57,0,FREE ,19~28,1
2,https://www.musinsa.com/app/goods/1412388,에센셜 수피마 슬리브리스 블랙,4.8,700개 이상,1257,38000,0,177,60,1,46 ,24~33,0
3,https://www.musinsa.com/app/goods/1951456,릴렉스드 슬리브리스 탑 [그레이],4.9,200개 이상,120,15900,0,173,72,0,L ,24~28,0
4,https://www.musinsa.com/app/goods/552760,[패키지] 레이어드 롱나시 패키지(HJST2072),4.6,400,7448,35800,0,180,90,0,화이트 M ,19~28,0
5,https://www.musinsa.com/app/goods/780467,[UNISEX] 메쉬쿨론 서프 슬리브리스 오프화이트,4.7,1500,1876,35000,0,177,78,0,XL ,24~33,0
6,https://www.musinsa.com/app/goods/1507036,레전드 2.0 SL 민소매 나시티 (블랙),4.8,200개 이상,1018,55000,0,174,64,0,105XL ,19~28,0
7,https://www.musinsa.com/app/goods/1452270,우먼즈 베이식 슬리브리스 탑 [화이트],4.8,2600,3366,10900,1,171,59,0,L ,40 이상,1
8,https://www.musinsa.com/app/goods/1466056,올라운드 트레이닝 슬리브리스 탑 [다크 그레이],4.8,400개 이상,404,17900,0,178,72,0,L ,24~33,0
9,https://www.musinsa.com/app/goods/1917577,[세트상품] 스퀘어 넥 숏 슬리브리스 3color,4.7,600개 이상,2119,30000,1,152,50,0,화이트 FREE ,19~28,1
10,https://www.musinsa.com/app/goods/2027738,스퀘어 넥 니트 슬리브리스_블랙,4.6,2300,6471,39000,1,175,63,0,FREE ,19~28,1
11,https://www.musinsa.com/app/goods/2034964,UNISEX 오버핏 싱글 MAISON프린팅 슬리브리스 탑 화이트(FCB2TS300M),4.8,500개 이상,1036,35000,0,180,71,0,화이트 L ,19~28,0
12,https://www.musinsa.com/app/goods/2086666,레이어드 슬리브리스 탑_일반 기장 [크림],4.9,700개 이상,285,11900,1,160,60,0,S ,29~39,0
13,https://www.musinsa.com/app/goods/2453323,TANK RACER MRCD_WHITE BLACK,4.9,400개 이상,2357,37000,1,160,51,0,FREE ,19~28,1
14,https://www.musinsa.com/app/goods/780467,[UNISEX] 메쉬쿨론 서프 슬리브리스 오프화이트,4.7,1500,1876,35000,0,180,72,0,L ,24~33,0
15,https://www.musinsa.com/app/goods/1922257,매트 새틴 슬리브리스_아이보리,4.7,200개 이상,1023,36000,1,163,52,0,FREE ,19~28,1
16,https://www.musinsa.com/app/goods/2028353,테크니컬 러닝 슬리브리스 탑 [블랙],4.9,300개 이상,242,20900,0,179,80,0,XL ,24~33,0
17,https://www.musinsa.com/app/goods/2448874,우먼즈 스퀘어 넥 니트 슬리브리스 탑 [블랙],4.8,400개 이상,990,23900,1,157,60,0,M ,24~33,1
18,https://www.musinsa.com/app/goods/2086661,레이어드 슬리브리스 탑_일반 기장 [블랙],4.9,2300,715,11900,0,177,65,0,M ,24~33,0
19,https://www.musinsa.com/app/goods/2041039,메쉬쿨론 돌핀레터링 슬리브리스_챠콜,4.9,600개 이상,581,32000,0,173,68,0,L ,24~33,0
20,https://www.musinsa.com/app/goods/2027738,스퀘어 넥 니트 슬리브리스_블랙,4.6,2300,6471,39000,1,163,55,0,FREE ,19~28,1
