web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
1662110792-41781,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/1322220,레귤러 핏 데님 팬츠 [미디엄 인디고],"[회원추천] (남자 170cm/65kg) 기준

                                적당함 29 Size 구매",4.8,,,5.9천 개 이상,"6,770","39,900원",,,,,,,"24~33세
,
남성
에게 인기 많은 상품",남
1662110792-41706,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/1322220,레귤러 핏 데님 팬츠 [미디엄 인디고],"[회원추천] (남자 170cm/60kg) 기준

                                적당함 26 Size 구매",4.8,,,5.9천 개 이상,"6,770","39,900원",,,,,,,"24~33세
,
남성
에게 인기 많은 상품",남
1662111046-48105,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/2071175,SL01 섬머 데님 와이드 팬츠 (BLACK),"[회원추천] (남자 174cm/70kg) 기준

                                적당함 M Size 구매",4.8,,,1.2만 개 이상,"12,045","49,000원",,,,,,,"19~28세
,
남성
에게 인기 많은 상품",남
1662110967-45696,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/1321881,슬림 크롭 데님 팬츠 [라이트 인디고],"[회원추천] (남자 178cm/85kg) 기준

                                적당함 34 Size 구매",4.8,,,9.7천 개 이상,"14,328","39,900원",,,,,,,"24~33세
,
남성
에게 인기 많은 상품",남
1662110975-45940,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/1885479,모어 와이드 데님 팬츠 (OFF WHITE),"[회원추천] (남자 175cm/66kg) 기준

                                적당함 L Size 구매",4.8,,,9.9천 개 이상,"15,669","49,000원",,,,,,,"19~23세
,
남성
에게 인기 많은 상품",남
1662111046-48182,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/2071175,SL01 섬머 데님 와이드 팬츠 (BLACK),"[회원추천] (남자 181cm/80kg) 기준

                                적당함 XL Size 구매",4.8,,,1.2만 개 이상,"12,045","49,000원",,,,,,,"19~28세
,
남성
에게 인기 많은 상품",남
1662110874-43359,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/1084249,[테이퍼드핏]I CREAM CHIP,"[회원추천] (남자 173cm/78kg) 기준

                                작음 L(32) Size 구매",4.7,,,4.4천 개 이상,"15,571","69,000원",,,,,,,"19~28세
,
남성
에게 인기 많은 상품",남
1662110796-41827,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/2261213,Blue Stardust - MOD1w,"[회원추천] (남자 183cm/65kg) 기준

                                적당함 32 Size 구매",4.9,,,3.7천 개 이상,"7,247","109,000원",,,,,,,"19~28세
,
남성
에게 인기 많은 상품",남
1662110777-41429,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/1778523,모어 와이드 데님 팬츠 (BLEACH),"[회원추천] (여자 160cm/55kg) 기준

                                큼 S Size 구매",4.8,,,8.7천 개 이상,"12,076","49,000원",,,,,,,"19~23세
,
남성
에게 인기 많은 상품",남
1662110748-40518,https://www.musinsa.com/category/003002,,https://www.musinsa.com/app/goods/2159918,깡 스타일리스트 x 플랙 베를린 K47 블랙 린스드,"[회원추천] (남자 172cm/70kg) 기준

                                적당함 31 Size 구매",4.7,,,1.1만 개 이상,"7,776","129,000원",,,,,,,"19~28세
,
남성
에게 인기 많은 상품",남
