web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662113574-77098","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/1908922","미니멀 트레이닝 essential 반바지 (화이트멜란지)","[회원추천] (남자 172cm/76kg) 기준

                                적당함 화이트멜란지 L Size 구매","4.8","","","1.2천 개 이상","1,632","25,800원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662113880-83839","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/1005314","스우시 반바지 블랙","[회원추천] (남자 170cm/65kg) 기준

                                적당함 블랙 M(85) Size 구매","4.7","","","1.5만 개 이상","53,936","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662113587-77436","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/2499769","원턱 스웨트 숏 팬츠 그레이","[회원추천] (남자 164cm/69kg) 기준

                                적당함 M Size 구매","4.9","","","1천 개 이상","1,271","42,000원","","","","","","","19~23세
,
남성
에게 인기 많은 상품","남"
"1662113826-82630","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/1457274","TE 유틸리티 숏 팬츠 - 블랙 / FJ4065","[회원추천] (남자 178cm/88kg) 기준

                                적당함 XL Size 구매","4.6","","","3.1천 개 이상","6,460","29,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662113867-83645","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/2574822","미니멀 트레이닝 essential 원턱 반바지 (멜란지)","[회원추천] (남자 177cm/75kg) 기준

                                적당함 멜란지 XL Size 구매","4.9","","","3.4천 개 이상","3,807","27,800원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662113525-75939","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/2354446","SWEAT SHORTS MARCHE EMBLEM_OATMEAL BLACK","[회원추천] (여자 157cm/50kg) 기준

                                적당함 FREE Size 구매","4.8","","","3천 개 이상","10,577","59,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662113727-80489","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/1965701","3S 첼시 숏 팬츠 - 블랙:화이트 / GL0022","[회원추천] (남자 172cm/64kg) 기준

                                적당함 M Size 구매","4.8","","","2.9천 개 이상","5,689","45,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662113551-76548","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/1344489","클래식 핏 폴로 프렙스터 - 화이트","[회원추천] (남자 180cm/72kg) 기준

                                적당함 S Size 구매","4.9","","","1.2천 개 이상","3,143","149,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662113644-78641","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/2586862","M 3S 숏 팬츠 - 블랙 / GM2127","[회원추천] (남자 179cm/77kg) 기준

                                적당함 XL Size 구매","4.8","","","500개 이상","953","45,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662113768-81517","https://www.musinsa.com/category/003009","","https://www.musinsa.com/app/goods/1388502","코튼 린넨 이지 쇼츠 [베이지]","[회원추천] (남자 170cm/63kg) 기준

                                적당함 28 Size 구매","4.8","","","2.1천 개 이상","1,296","23,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
