web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662114158-85142","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1747033","트레포일 레깅스 - 블랙 / DV2636","[회원추천] (여자 163cm/43kg) 기준

                                적당함 S Size 구매","4.8","","","1.7천 개 이상","5,081","49,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114158-85181","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1747033","트레포일 레깅스 - 블랙 / DV2636","[회원추천] (여자 167cm/50kg) 기준

                                적당함 S Size 구매","4.8","","","1.7천 개 이상","5,081","49,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114206-85331","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2382446","3ST 레깅스 - 블랙 / HD2350","[회원추천] (여자 161cm/53kg) 기준

                                적당함 S Size 구매","4.9","","","200개 이상","862","39,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114019-84661","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1772551","히트기어 아머 레깅스 1361586-001","[회원추천] (남자 170cm/60kg) 기준

                                적당함 M Size 구매","4.9","","","600개 이상","1,001","45,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114023-84760","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1750213","플렉스 데일리 에센셜 레깅스 (BLACK)","[회원추천] (여자 159cm/45kg) 기준

                                적당함 S Size 구매","4.9","","","400개 이상","1,182","59,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114158-85170","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1747033","트레포일 레깅스 - 블랙 / DV2636","[회원추천] (남자 143cm/43kg) 기준

                                적당함 S Size 구매","4.8","","","1.7천 개 이상","5,081","49,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114113-85090","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2730004","에어쿨링 샤론 부츠컷 레깅스 숏_다크그레이프","","5","","","","6","39,000원","","","","","","","","여"
"1662114051-84928","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2010276","남성 쿨 에어 이너 타이즈 블랙","[회원추천] (남자 165cm/65kg) 기준

                                적당함 쿨 에어 이너 타이즈 블랙M Size 구매","4.9","","","600개 이상","424","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114023-84807","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1750213","플렉스 데일리 에센셜 레깅스 (BLACK)","[회원추천] (여자 156cm/42kg) 기준

                                적당함 XS Size 구매","4.9","","","400개 이상","1,182","59,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114245-85520","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1755971","3 스트라이프 레깅스 - 블랙 / GN4504","[회원추천] (여자 166cm/51kg) 기준

                                적당함 S Size 구매","4.7","","","6.2천 개 이상","11,578","39,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114003-84475","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2380270","5부 컴프레션 레깅스","[회원추천] (남자 163cm/60kg) 기준

                                적당함 네이비 M Size 구매","4.8","","","200개 이상","92","15,400원","","","","","","","40세 이상
,
남성
에게 인기 많은 상품","남"
"1662114051-84918","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2010276","남성 쿨 에어 이너 타이즈 블랙","[회원추천] (남자 172cm/58kg) 기준

                                적당함 쿨 에어 이너 타이즈 블랙M Size 구매","4.9","","","600개 이상","424","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114202-85278","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1165926","프로 남자 레깅스 타이즈 헬스복 (블랙)","[회원추천] (남자 181cm/75kg) 기준

                                적당함 090(XL) Size 구매","4.8","","","1.3천 개 이상","2,177","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114006-84538","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2008629","에어무스 조거핏 레깅스_메티오블랙_(AKSPT-66BLK)","[회원추천] (여자 168cm/60kg) 기준

                                적당함 4 Size 구매","4.8","","","300개 이상","623","49,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114051-84953","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2010276","남성 쿨 에어 이너 타이즈 블랙","[회원추천] (남자 180cm/73kg) 기준

                                적당함 쿨 에어 이너 타이즈 블랙XL Size 구매","4.9","","","600개 이상","424","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114033-84845","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2382888","로고 9부 컴프레션 레깅스","[회원추천] (남자 180cm/63kg) 기준

                                적당함 로고8.5부컴프레션레깅스_블랙 M Size 구매","4.8","","","400개 이상","138","17,400원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662114095-85083","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2730074","에어쿨링 지니 시그니처 8.2부 레깅스_딥나이트","","4.9","","","","4","39,000원","","","","","","","","여"
"1662114202-85230","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1165926","프로 남자 레깅스 타이즈 헬스복 (블랙)","[회원추천] (남자 176cm/70kg) 기준

                                작음 085(L) Size 구매","4.8","","","1.3천 개 이상","2,177","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114250-85558","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1466284","컴프레션 타이즈 [블랙]","[회원추천] (남자 172cm/68kg) 기준

                                적당함 M Size 구매","4.8","","","6.3천 개 이상","4,188","21,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662114110-85089","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/2741360","VOLTAGE EXCEL FULL LENGTH LEGGINGS[062216]","","null","","","","0","198,000원","","","","","","","","여"
"1662114241-85449","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1343729","우먼즈 9부 요가 레깅스 [블랙]","[회원추천] (여자 166cm/56kg) 기준

                                적당함 M Size 구매","4.8","","","600개 이상","2,127","24,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662114023-84806","https://www.musinsa.com/category/003005","","https://www.musinsa.com/app/goods/1750213","플렉스 데일리 에센셜 레깅스 (BLACK)","[회원추천] (여자 163cm/52kg) 기준

                                적당함 M Size 구매","4.9","","","400개 이상","1,182","59,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
