web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662113028-71717","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/2404496","Linen Cargo Jogger Pants Black","[회원추천] (여자 165cm/51kg) 기준

                                적당함 M Size 구매","4.8","","","4.2천 개 이상","17,982","79,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662112912-69195","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/962130","MNC 트레이닝 스웨트 팬츠 그레이","[회원추천] (남자 174cm/62kg) 기준

                                적당함 M(30) 45수_여름용 Size 구매","4.7","","","3.6천 개 이상","12,756","37,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662113101-73216","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/1582583","와이드 스웨트 조거 팬츠 그레이","[회원추천] (여자 160cm/55kg) 기준

                                큼 M Size 구매","4.8","","","1.3만 개 이상","28,000","43,400원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662112836-67417","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/988717","라운지 스웨트 팬츠 [블랙]","[회원추천] (남자 179cm/71kg) 기준

                                큼 S Size 구매","4.7","","","3.2천 개 이상","6,706","32,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662113132-74257","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/1212777","라운지 스웨트 팬츠 [멜란지 그레이]","[회원추천] (남자 172cm/63kg) 기준

                                큼 M Size 구매","4.8","","","3.1만 개 이상","25,325","25,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662112966-70336","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/1269090","[실켓쭈리][여름버전추가]세미와이드 이지 트레이닝 스웨트팬츠(그레이)","[회원추천] (남자 169cm/68kg) 기준

                                적당함 여름버전S Size 구매","4.8","","","8.1천 개 이상","11,144","65,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662112921-69356","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/1278213","Classic String Sweat Pants [Black]","[회원추천] (남자 175cm/67kg) 기준

                                적당함 L 라이트 웨이트 Size 구매","4.8","","","7천 개 이상","8,458","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662112904-68988","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/1755979","M 3S 플리스 오픈 팬츠 - 그레이 / GK9270","[회원추천] (남자 173cm/73kg) 기준

                                적당함 M Size 구매","4.8","","","3.8천 개 이상","5,521","65,000원","","","","","","","18세 이하
,
여성
에게 인기 많은 상품","남"
"1662112836-67357","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/988717","라운지 스웨트 팬츠 [블랙]","[회원추천] (여자 160cm/49kg) 기준

                                큼 S Size 구매","4.7","","","3.2천 개 이상","6,706","32,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662112940-69723","https://www.musinsa.com/category/003004","","https://www.musinsa.com/app/goods/2083472","939 LOGO SWEAT PANTS (NAVY)","[회원추천] (여자 158cm/54kg) 기준

                                적당함 S Size 구매","4.8","","","3천 개 이상","11,730","79,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
