web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662123054-167402","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2742986","Mary leaf gathered waist dress","","null","","","","8","189,000원","","","","","","","","여"
"1662122941-167362","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2720258","와이드돔 오버롤 스커트 WDS-611 블랙","","null","","","","11","98,000원","","","","","","","","여"
"1662122956-167368","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2751447","Boat Neck Midi Dress","","null","","","","0","131,000원","","","","","","","","여"
"1662123095-167416","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2753245","허리벨트 니트 롱 원피스(VY9OKG1)","","null","","","","0","69,000원","","","","","","","","여"
"1662122880-167340","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2715191","[women] 카키 롱 피케 원피스 (BF2371N03H)","","null","","","","18","199,000원","","","","","","","","여"
"1662122998-167383","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2748989","Standard Slit Long Dress","","null","","","","0","117,000원","","","","","","","","여"
"1662122962-167370","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2730096","Open-collar Shirring Dress [Navy]","","null","","","","5","285,000원","","","","","","","","여"
"1662123059-167404","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2746137","Maison Tunic Dress","","null","","","","5","146,000원","","","","","","","","여"
"1662123078-167411","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2750124","YY_triacetate white wrinkle dress","","null","","","","9","224,000원","","","","","","","","여"
"1662122861-167333","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2740658","올림피아 OLIMPIA 12261629600 003 여성 원피스","","null","","","","0","838,800원","","","","","","","","여"
"1662122890-167344","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2725022","미드나잇 뷔스티에 롱원피스 블랙","","null","","","","12","129,000원","","","","","","","","여"
"1662123024-167392","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2739985","카라 롱 플리츠 드레스 클래식 블랙","","null","","","","4","208,000원","","","","","","","","여"
"1662123006-167386","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2739648","BELT STITCH ONEPIECE_BLACK","","null","","","","3","135,000원","","","","","","","","여"
"1662122900-167347","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2751618","여성 슬림핏 미니 폴로 원피스 EF5473-52N 240","","null","","","","1","239,000원","","","","","","","","여"
"1662123019-167390","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2740053","스노우드롭 롱 드레스 블랙","","null","","","","2","168,000원","","","","","","","","여"
"1662122936-167360","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2720259","와이드돔 오버롤 스커트 WDS-611 카멜","","null","","","","9","98,000원","","","","","","","","여"
"1662122991-167380","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2732584","Jolie Printed Brown Midi Dress","","null","","","","4","168,000원","","","","","","","","여"
"1662122859-167332","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2736320","더블 스트링 슬리브리스 원피스 (그레이)","","null","","","","8","135,000원","","","","","","","","여"
"1662122966-167372","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2728425","Wrap Flare Dress - Black","","null","","","","1","165,000원","","","","","","","","여"
"1662122988-167379","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2732603","Phoebe Pleated Pink Shirt Dress","","null","","","","9","189,000원","","","","","","","","여"
"1662123027-167393","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2739990","블랙 레인 롱 드레스","","null","","","","2","215,000원","","","","","","","","여"
"1662122885-167342","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2725006","트와일라잇 주름 롱원피스 블랙","","null","","","","4","119,000원","","","","","","","","여"
"1662123045-167399","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2742980","Mary flat strap waist flare dress","","null","","","","27","189,000원","","","","","","","","여"
"1662123062-167405","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2739314","센터 뱃지 크루넥 드레스 (T32C7WOP40TWT2BDS)","","null","","","","7","188,000원","","","","","","","","여"
"1662123102-167419","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2756746","Underwater One-Piece","","null","","","","7","86,000원","","","","","","","","여"
"1662122867-167335","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2717548","애쉬 A라인 레이어드 원피스 (322871HY14)","","null","","","","30","49,900원","","","","","","","","여"
"1662122933-167359","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2751031","LIP 리버시블 맥시 드레스 라일락","","null","","","","0","143,000원","","","","","","","","여"
"1662123056-167403","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2741745","A SQUARE NECK FLORAL DRESS_NAVY","","null","","","","2","169,000원","","","","","","","","여"
"1662122959-167369","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2720618","플란넬 체크 셔츠드레스 (T32C7WOP43TWT2C87)","","null","","","","1","188,000원","","","","","","","","여"
"1662122888-167343","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2725026","미드나잇 뷔스티에 롱원피스 네이비","","null","","","","6","129,000원","","","","","","","","여"
