web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662122448-167210","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/2740720","MONTE ROSA DRESS BEIGE","","null","","","","0","289,000원","","","","","","","","여"
"1662122304-167134","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417729","우먼즈 크루 넥 티셔츠 드레스 [다크 네이비]","[회원추천] (여자 167cm/58kg) 기준

                                적당함 M Size 구매","4.8","","","200개 이상","468","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122272-167055","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/2733076","[D-GIFT] 블랙 체크 시어서커(지지미) 스트랩 셔츠형원피스 DLDR2B591BK","","null","","","","2","425,000원","","","","","","","","여"
"1662122414-167198","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/2731611","빅 트위치로고 루즈핏 후드 원피스 오트밀","","null","","","","27","79,000원","","","","","","","","여"
"1662122500-167298","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417726","우먼즈 크루 넥 티셔츠 드레스 [블랙]","[회원추천] (여자 163cm/49kg) 기준

                                적당함 S Size 구매","4.8","","","1.3천 개 이상","3,803","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122304-167129","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417729","우먼즈 크루 넥 티셔츠 드레스 [다크 네이비]","[회원추천] (여자 154cm/50kg) 기준

                                적당함 S Size 구매","4.8","","","200개 이상","468","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122500-167262","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417726","우먼즈 크루 넥 티셔츠 드레스 [블랙]","[회원추천] (여자 158cm/55kg) 기준

                                적당함 M Size 구매","4.8","","","1.3천 개 이상","3,803","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122304-167131","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417729","우먼즈 크루 넥 티셔츠 드레스 [다크 네이비]","[회원추천] (여자 165cm/52kg) 기준

                                적당함 M Size 구매","4.8","","","200개 이상","468","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122500-167250","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417726","우먼즈 크루 넥 티셔츠 드레스 [블랙]","[회원추천] (여자 160cm/52kg) 기준

                                적당함 S Size 구매","4.8","","","1.3천 개 이상","3,803","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122304-167114","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417729","우먼즈 크루 넥 티셔츠 드레스 [다크 네이비]","[회원추천] (여자 160cm/60kg) 기준

                                큼 L Size 구매","4.8","","","200개 이상","468","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122367-167181","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/2717550","블랙 스웨터 패치 원피스 (112871CY15)","","null","","","","10","59,900원","","","","","","","","여"
"1662122500-167305","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417726","우먼즈 크루 넥 티셔츠 드레스 [블랙]","[회원추천] (여자 153cm/45kg) 기준

                                적당함 XS Size 구매","4.8","","","1.3천 개 이상","3,803","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122346-167171","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/2701621","퓨어 트위드 드레스_블랙","","null","","","","21","112,000원","","","","","","","","여"
"1662122500-167314","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417726","우먼즈 크루 넥 티셔츠 드레스 [블랙]","[회원추천] (여자 163cm/55kg) 기준

                                적당함 M Size 구매","4.8","","","1.3천 개 이상","3,803","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122500-167237","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417726","우먼즈 크루 넥 티셔츠 드레스 [블랙]","[회원추천] (여자 163cm/48kg) 기준

                                적당함 XS Size 구매","4.8","","","1.3천 개 이상","3,803","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662122304-167135","https://www.musinsa.com/category/020007","","https://www.musinsa.com/app/goods/1417729","우먼즈 크루 넥 티셔츠 드레스 [다크 네이비]","[회원추천] (여자 157cm/54kg) 기준

                                적당함 L Size 구매","4.8","","","200개 이상","468","18,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
