web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662122042-166571","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2478652","[NF] 핀턱 아일렛 원피스 (CHARCOAL)_F22QD321","[회원추천] (여자 158cm/48kg) 기준

                                적당함 OS Size 구매","4.7","","","900개 이상","9,891","68,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122075-166935","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 156cm/43kg) 기준

                                적당함 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121917-166004","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2000879","폴로 피케이 원피스 블랙","[회원추천] (여자 178cm/65kg) 기준

                                적당함 블랙 L Size 구매","4.9","","","400개 이상","2,429","38,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122075-166912","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 153cm/50kg) 기준

                                적당함 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121917-166034","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2000879","폴로 피케이 원피스 블랙","[회원추천] (여자 166cm/54kg) 기준

                                적당함 블랙 M Size 구매","4.9","","","400개 이상","2,429","38,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122072-166846","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1103286","FLOWER ONE PIECE_BLACK","[회원추천] (여자 165cm/55kg) 기준

                                적당함 M Size 구매","4.8","","","1천 개 이상","14,812","74,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662121910-165959","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392490","우먼즈 슬릿 넥 폴로 원피스 [화이트]","[회원추천] (여자 168cm/57kg) 기준

                                적당함 M Size 구매","4.8","","","300개 이상","967","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122075-166884","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 167cm/52kg) 기준

                                작음 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122024-166373","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2306207","Rancy Rain Mini Dress GREY","[회원추천] (여자 162cm/52kg) 기준

                                적당함 2 Size 구매","4.6","","","1.7천 개 이상","10,298","28,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122042-166584","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2478652","[NF] 핀턱 아일렛 원피스 (CHARCOAL)_F22QD321","[회원추천] (여자 164cm/47kg) 기준

                                적당함 OS Size 구매","4.7","","","900개 이상","9,891","68,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121871-165932","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2533599","WOMEN 크롭 슬림 무지 반팔 셔츠 미니 원피스 [WHITE] 스커트 치마 ver.","[회원추천] (여자 162cm/52kg) 기준

                                적당함 FREE Size 구매","4.8","","","100개 이상","2,366","53,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122075-166857","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 168cm/55kg) 기준

                                적당함 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122024-166412","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2306207","Rancy Rain Mini Dress GREY","[회원추천] (여자 159cm/53kg) 기준

                                적당함 2 Size 구매","4.6","","","1.7천 개 이상","10,298","28,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121944-166162","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/987352","BCG 반팔 원피스 CESBGTS07BL","[회원추천] (여자 161cm/54kg) 기준

                                적당함 M Size 구매","4.6","","","500개 이상","4,894","59,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122024-166341","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2306207","Rancy Rain Mini Dress GREY","[회원추천] (여자 159cm/46kg) 기준

                                적당함 1 Size 구매","4.6","","","1.7천 개 이상","10,298","28,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122038-166497","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392491","우먼즈 슬릿 넥 폴로 원피스 [네이비]","[회원추천] (여자 160cm/54kg) 기준

                                적당함 S Size 구매","4.8","","","1.3천 개 이상","3,674","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122038-166501","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392491","우먼즈 슬릿 넥 폴로 원피스 [네이비]","[회원추천] (여자 169cm/56kg) 기준

                                적당함 M Size 구매","4.8","","","1.3천 개 이상","3,674","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122072-166847","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1103286","FLOWER ONE PIECE_BLACK","[회원추천] (여자 155cm/40kg) 기준

                                적당함 S Size 구매","4.8","","","1천 개 이상","14,812","74,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662122075-166878","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 165cm/56kg) 기준

                                적당함 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121871-165925","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2533599","WOMEN 크롭 슬림 무지 반팔 셔츠 미니 원피스 [WHITE] 스커트 치마 ver.","[회원추천] (여자 163cm/40kg) 기준

                                적당함 FREE Size 구매","4.8","","","100개 이상","2,366","53,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122000-166296","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2533597","WOMEN 크롭 슬림 무지 반팔 셔츠 미니 원피스 [BLACK] 스커트 치마 ver.","[회원추천] (여자 163cm/54kg) 기준

                                적당함 FREE Size 구매","4.8","","","300개 이상","3,690","53,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121917-166014","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2000879","폴로 피케이 원피스 블랙","[회원추천] (여자 178cm/58kg) 기준

                                적당함 블랙 L Size 구매","4.9","","","400개 이상","2,429","38,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122038-166456","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392491","우먼즈 슬릿 넥 폴로 원피스 [네이비]","[회원추천] (여자 158cm/45kg) 기준

                                큼 S Size 구매","4.8","","","1.3천 개 이상","3,674","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121975-166244","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2611706","Twinlook bear 코튼 카라 미니 원피스  AOPS201 (black)","[회원추천] (여자 170cm/55kg) 기준

                                적당함 M Size 구매","4.8","","","100개 이상","551","32,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122080-166962","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392489","우먼즈 슬릿 넥 폴로 원피스 [블랙]","[회원추천] (여자 168cm/56kg) 기준

                                적당함 M Size 구매","4.8","","","2.4천 개 이상","6,599","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121920-166112","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2605850","프릴 미니 드레스 (핑크)","[회원추천] (여자 163cm/43kg) 기준

                                적당함 S Size 구매","4.9","","","200개 이상","5,123","89,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121856-165888","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392492","우먼즈 슬릿 넥 폴로 원피스 [에그렛]","[회원추천] (여자 152cm/45kg) 기준

                                적당함 XS Size 구매","4.8","","","400개 이상","1,174","29,900원","","","","","","","24~28세
,
여성
에게 인기 많은 상품","여"
"1662122075-166940","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 157cm/50kg) 기준

                                적당함 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122075-166897","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 168cm/52kg) 기준

                                적당함 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121944-166160","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/987352","BCG 반팔 원피스 CESBGTS07BL","[회원추천] (여자 171cm/64kg) 기준

                                작음 M Size 구매","4.6","","","500개 이상","4,894","59,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122072-166774","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1103286","FLOWER ONE PIECE_BLACK","[회원추천] (여자 100cm/100kg) 기준

                                적당함 M Size 구매","4.8","","","1천 개 이상","14,812","74,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662122080-167031","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392489","우먼즈 슬릿 넥 폴로 원피스 [블랙]","[회원추천] (여자 165cm/57kg) 기준

                                적당함 M Size 구매","4.8","","","2.4천 개 이상","6,599","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121910-165961","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392490","우먼즈 슬릿 넥 폴로 원피스 [화이트]","[회원추천] (여자 162cm/54kg) 기준

                                적당함 S Size 구매","4.8","","","300개 이상","967","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122042-166591","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2478652","[NF] 핀턱 아일렛 원피스 (CHARCOAL)_F22QD321","[회원추천] (여자 162cm/53kg) 기준

                                적당함 OS Size 구매","4.7","","","900개 이상","9,891","68,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122038-166519","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392491","우먼즈 슬릿 넥 폴로 원피스 [네이비]","[회원추천] (여자 163cm/58kg) 기준

                                적당함 M Size 구매","4.8","","","1.3천 개 이상","3,674","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122024-166354","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2306207","Rancy Rain Mini Dress GREY","[회원추천] (여자 159cm/42kg) 기준

                                큼 1 Size 구매","4.6","","","1.7천 개 이상","10,298","28,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122046-166637","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2000886","폴로 피케이 원피스 네이비","[회원추천] (여자 168cm/48kg) 기준

                                적당함 네이비 M Size 구매","4.9","","","800개 이상","3,592","38,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122042-166540","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2478652","[NF] 핀턱 아일렛 원피스 (CHARCOAL)_F22QD321","[회원추천] (여자 164cm/56kg) 기준

                                적당함 OS Size 구매","4.7","","","900개 이상","9,891","68,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122080-167029","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2392489","우먼즈 슬릿 넥 폴로 원피스 [블랙]","[회원추천] (여자 167cm/50kg) 기준

                                적당함 S Size 구매","4.8","","","2.4천 개 이상","6,599","29,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122024-166339","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/2306207","Rancy Rain Mini Dress GREY","[회원추천] (여자 100cm/150kg) 기준

                                적당함 2 Size 구매","4.6","","","1.7천 개 이상","10,298","28,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122075-166892","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 169cm/48kg) 기준

                                작음 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662122075-166881","https://www.musinsa.com/category/020006","","https://www.musinsa.com/app/goods/1779568","IN PK OPS(IVORY)","[회원추천] (여자 161cm/45kg) 기준

                                적당함 FREE Size 구매","4.8","","","800개 이상","13,606","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
