web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662121066-162221","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1567182","오디너리 크롭 가디건 네이비","[회원추천] (남자 169cm/67kg) 기준

                                적당함 44 Size 구매","4.9","","","2.9천 개 이상","4,239","94,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120981-160810","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/2605869","NICOLE BOLERO KNIT TOP_BLACK","[회원추천] (여자 157cm/50kg) 기준

                                적당함 FREE Size 구매","4.8","","","600개 이상","1,262","49,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662120813-158358","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1974944","WOMEN 미디 크롭 슬림 플리츠 반팔티 가디건 [BLACK] 반팔 크롭티","[회원추천] (여자 160cm/52kg) 기준

                                적당함 BLACK FREE Size 구매","4.8","","","1천 개 이상","5,379","31,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662120966-160698","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/2052492","PPS HAIRY CARDIGAN - BLACK","[회원추천] (남자 179cm/74kg) 기준

                                큼 L Size 구매","4.9","","","4.7천 개 이상","13,400","119,000원","","","","","","","19~23세
,
남성
에게 인기 많은 상품","남"
"1662120804-158276","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1795629","오버핏 울 가디건 (블랙)","[회원추천] (남자 184cm/83kg) 기준

                                적당함 L Size 구매","4.9","","","1.5천 개 이상","3,845","125,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662120847-159078","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1608372","Miller Heavyweight Cardigan Dust","[회원추천] (남자 171cm/85kg) 기준

                                적당함 L Size 구매","4.8","","","2.6천 개 이상","7,484","132,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662121022-161577","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1565497","엔젤 와펜 가디건 그레이","[회원추천] (남자 176cm/55kg) 기준

                                적당함 S Size 구매","4.8","","","6.3천 개 이상","15,494","89,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120804-158310","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1795629","오버핏 울 가디건 (블랙)","[회원추천] (남자 180cm/80kg) 기준

                                큼 L Size 구매","4.9","","","1.5천 개 이상","3,845","125,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662120997-160933","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1567181","오디너리 크롭 가디건 멀티 차콜","[회원추천] (여자 160cm/51kg) 기준

                                큼 42 (FOR WOMAN) Size 구매","4.9","","","1.6천 개 이상","2,546","94,900원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662120843-158998","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1774005","AQO BEAR CARDIGAN BLACK","[회원추천] (여자 164cm/52kg) 기준

                                적당함 FREE Size 구매","4.8","","","1.6천 개 이상","9,407","64,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","여"
"1662120847-159114","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1608372","Miller Heavyweight Cardigan Dust","[회원추천] (남자 176cm/78kg) 기준

                                적당함 XL Size 구매","4.8","","","2.6천 개 이상","7,484","132,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662121009-161255","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/2293204","울 니트 가디건 자켓_Midnight blue","[회원추천] (남자 180cm/65kg) 기준

                                적당함 L Size 구매","4.7","","","1.5천 개 이상","6,699","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120847-159091","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1608372","Miller Heavyweight Cardigan Dust","[회원추천] (남자 166cm/60kg) 기준

                                큼 M Size 구매","4.8","","","2.6천 개 이상","7,484","132,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662121081-162448","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/2683549","파로 오버 사이즈 부클 가디건 클래식 블랙","[회원추천] (남자 186cm/76kg) 기준

                                작음 L Size 구매","4.9","","","600개 이상","2,380","149,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121110-163031","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/2286964","오버핏 크롭 카라 가디건 [블랙]","[회원추천] (남자 181cm/78kg) 기준

                                적당함 L Size 구매","4.8","","","4.5천 개 이상","10,653","110,500원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121022-161578","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1565497","엔젤 와펜 가디건 그레이","[회원추천] (남자 173cm/63kg) 기준

                                큼 S Size 구매","4.8","","","6.3천 개 이상","15,494","89,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120884-159370","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/918037","헤비오버핏 램스울 가디건 블랙","[회원추천] (남자 181cm/78kg) 기준

                                큼 L Size 구매","4.7","","","1.5천 개 이상","6,788","139,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120847-159065","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1608372","Miller Heavyweight Cardigan Dust","[회원추천] (남자 175cm/66kg) 기준

                                적당함 L Size 구매","4.8","","","2.6천 개 이상","7,484","132,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662120961-160539","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1635084","벌키 브러쉬 아가일 가디건 BLACK","[회원추천] (남자 180cm/70kg) 기준

                                적당함 L Size 구매","4.8","","","4.2천 개 이상","21,762","99,000원","","","","","","","19~23세
,
남성
에게 인기 많은 상품","남"
"1662120833-158784","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1272813","엔젤 와펜 가디건 아이보리","[회원추천] (남자 181cm/72kg) 기준

                                큼 L Size 구매","4.8","","","1.4천 개 이상","6,358","89,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662120943-160138","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1769203","화란 세미오버 가디건 버터","[회원추천] (여자 165cm/70kg) 기준

                                적당함 48 Size 구매","4.8","","","2천 개 이상","2,529","94,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120943-160196","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1769203","화란 세미오버 가디건 버터","[회원추천] (남자 173cm/72kg) 기준

                                적당함 48 Size 구매","4.8","","","2천 개 이상","2,529","94,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120981-160738","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/2605869","NICOLE BOLERO KNIT TOP_BLACK","[회원추천] (여자 160cm/55kg) 기준

                                적당함 FREE Size 구매","4.8","","","600개 이상","1,262","49,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662120796-158210","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1952822","WOMEN 셋업 크롭 가디건 반팔티 끈나시 세트 [블랙]","[회원추천] (여자 161cm/52kg) 기준

                                적당함 블랙 FREE Size 구매","4.8","","","500개 이상","4,566","42,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662120823-158553","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1149125","베이직 니트 가디건_네이비","[회원추천] (남자 173cm/65kg) 기준

                                큼 L Size 구매","4.8","","","1.4천 개 이상","6,325","61,300원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","여"
"1662120910-159791","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/1773782","NOI301 하이넥 믹스 가디건 (블랙)","[회원추천] (여자 166cm/55kg) 기준

                                적당함 FREE Size 구매","4.8","","","4.3천 개 이상","10,662","48,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662121018-161506","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/2605859","NICOLE BOLERO KNIT TOP_IVORY","[회원추천] (여자 165cm/60kg) 기준

                                적당함 FREE Size 구매","4.8","","","800개 이상","2,425","49,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662120759-157961","https://www.musinsa.com/category/002020","","https://www.musinsa.com/app/goods/2194656","카라 케이블 니트 집업 아이보리","[회원추천] (여자 158cm/52kg) 기준

                                적당함 S Size 구매","4.8","","","4.8천 개 이상","12,249","69,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","남"
