web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662121454-164270","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1563097","플리스 카라리스 자켓 아이보리","[회원추천] (남자 170cm/48kg) 기준

                                적당함 M Size 구매","4.8","","","2.5천 개 이상","13,196","79,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662121445-164015","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1145383","플리스 집업 자켓 퍼플","[회원추천] (여자 160cm/52kg) 기준

                                큼 S Size 구매","4.7","","","1.2천 개 이상","6,988","69,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662121449-164112","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/2053644","플리스 집업 자켓 스카이블루","[회원추천] (여자 162cm/50kg) 기준

                                적당함 S Size 구매","4.7","","","3.6천 개 이상","10,962","69,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662121475-164655","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/2100470","오버사이즈 폴라 플리스 하이넥 재킷 [블랙]","[회원추천] (남자 175cm/71kg) 기준

                                적당함 L Size 구매","4.9","","","4.2천 개 이상","3,348","39,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121454-164212","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1563097","플리스 카라리스 자켓 아이보리","[회원추천] (여자 165cm/60kg) 기준

                                큼 M Size 구매","4.8","","","2.5천 개 이상","13,196","79,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662121440-163975","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/2014488","리버서블 후드 웜업 [포레스트 카키] WHJJC1191U","[회원추천] (남자 162cm/80kg) 기준

                                적당함 (49)포레스트 카키 M_095 Size 구매","4.9","","","7.8천 개 이상","7,017","99,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121465-164482","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1145385","플리스 집업 자켓 베이지","[회원추천] (남자 174cm/59kg) 기준

                                적당함 M Size 구매","4.7","","","800개 이상","6,422","69,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662121574-165072","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1195240","엔젤 플리스 집업 아이보리","[회원추천] (여자 170cm/67kg) 기준

                                적당함 L Size 구매","4.8","","","6.9천 개 이상","18,330","79,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662121460-164368","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1195253","브이넥 쉐르파 플리스 재킷 [블랙]","[회원추천] (여자 162cm/55kg) 기준

                                큼 M Size 구매","4.7","","","700개 이상","2,625","43,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121342-163531","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1169778","빅로고 보아 플리스 점퍼 - 그레이[사은품 증정] (포토카드 증정)","[회원추천] (남자 176cm/95kg) 기준

                                적당함 그레이 XL Size 구매","4.8","","","2.1천 개 이상","4,726","89,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662121570-164948","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1195239","엔젤 플리스 집업 블랙","[회원추천] (남자 179cm/62kg) 기준

                                적당함 L Size 구매","4.8","","","6.8천 개 이상","17,826","79,000원","","","","","","","40세 이상
,
여성
에게 인기 많은 상품","남"
"1662121440-163960","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/2014488","리버서블 후드 웜업 [포레스트 카키] WHJJC1191U","[회원추천] (남자 176cm/70kg) 기준

                                적당함 (49)포레스트 카키 L_100 Size 구매","4.9","","","7.8천 개 이상","7,017","99,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121592-165441","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1670498","레인보우 폴라 플리스 집업(GL5TZU191IV)","[회원추천] (여자 170cm/70kg) 기준

                                큼 L Size 구매","4.8","","","1.9천 개 이상","7,284","79,000원","","","","","","","18세 이하
,
여성
에게 인기 많은 상품","남"
"1662121460-164386","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1195253","브이넥 쉐르파 플리스 재킷 [블랙]","[회원추천] (남자 183cm/68kg) 기준

                                적당함 XL Size 구매","4.7","","","700개 이상","2,625","43,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121327-163457","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1193421","쉐르파 플리스 집업 베스트 [블랙]","[회원추천] (남자 179cm/80kg) 기준

                                적당함 XL Size 구매","4.7","","","1.7천 개 이상","1,254","39,900원","","","","","","","34세 이상
,
남성
에게 인기 많은 상품","남"
"1662121521-164764","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/2053653","플리스 카라리스 자켓 멜란지 그레이","[회원추천] (남자 164cm/42kg) 기준

                                적당함 M Size 구매","4.8","","","2.6천 개 이상","8,840","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121449-164191","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/2053644","플리스 집업 자켓 스카이블루","[회원추천] (여자 162cm/64kg) 기준

                                적당함 M Size 구매","4.7","","","3.6천 개 이상","10,962","69,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662121570-164983","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1195239","엔젤 플리스 집업 블랙","[회원추천] (남자 168cm/62kg) 기준

                                적당함 L Size 구매","4.8","","","6.8천 개 이상","17,826","79,000원","","","","","","","40세 이상
,
여성
에게 인기 많은 상품","남"
"1662121413-163700","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/2582957","[Mmlg] DUVET FLEECE JUMPER (DENVER GREEN)","","null","","","","42","134,000원","","","","","","","","남"
"1662121359-163653","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1186312","우먼즈 플리스 칼라리스 재킷 [블랙]","[회원추천] (여자 164cm/52kg) 기준

                                적당함 M Size 구매","4.7","","","1.5천 개 이상","7,940","33,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662121470-164585","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1221386","보아 플리스 후디드 스웨트 집업 [멜란지 그레이]","[회원추천] (남자 176cm/72kg) 기준

                                적당함 2XL Size 구매","4.8","","","2.6천 개 이상","3,876","39,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662121342-163488","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1169778","빅로고 보아 플리스 점퍼 - 그레이[사은품 증정] (포토카드 증정)","[회원추천] (여자 160cm/49kg) 기준

                                적당함 그레이 M Size 구매","4.8","","","2.1천 개 이상","4,726","89,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662121342-163562","https://www.musinsa.com/category/002023","","https://www.musinsa.com/app/goods/1169778","빅로고 보아 플리스 점퍼 - 그레이[사은품 증정] (포토카드 증정)","[회원추천] (여자 165cm/50kg) 기준

                                적당함 그레이 M Size 구매","4.8","","","2.1천 개 이상","4,726","89,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
