web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662120418-157442","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/947088","후디드 스웨트 집업 [멜란지 그레이]","[회원추천] (여자 166cm/61kg) 기준

                                큼 XL Size 구매","4.8","","","2.1만 개 이상","25,983","34,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120404-157019","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/2385875","Essential 오버핏 2Way 후드집업 트레이닝 셋업","[회원추천] (남자 180cm/65kg) 기준

                                적당함 후드집업 멜란지 XL Size 구매","4.8","","","4.5천 개 이상","9,034","69,800원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662120307-153754","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/1344486","Classic Raglan Hoodie Zip Up [Grey]","[회원추천] (남자 172cm/75kg) 기준

                                적당함 XL Size 구매","4.8","","","3.3천 개 이상","7,932","53,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120300-153517","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/2179932","오버 핏 후드 스웨트 집업 [멜란지 그레이]","[회원추천] (남자 188cm/77kg) 기준

                                적당함 XL Size 구매","4.9","","","2천 개 이상","2,017","47,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120360-155437","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/947087","후디드 스웨트 집업 [블랙]","[회원추천] (남자 179cm/95kg) 기준

                                적당함 L Size 구매","4.8","","","5.3천 개 이상","5,689","34,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662120376-155982","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/1778406","2WAY 스웻 후드 집업 (CHARCOAL)","[회원추천] (여자 164cm/54kg) 기준

                                적당함 S Size 구매","4.8","","","8.5천 개 이상","20,403","45,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662120376-155970","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/1778406","2WAY 스웻 후드 집업 (CHARCOAL)","[회원추천] (여자 161cm/78kg) 기준

                                적당함 L Size 구매","4.8","","","8.5천 개 이상","20,403","45,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662120242-152155","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/2061931","Velour Track Zip-Up Hoodie Navy/Gray","[회원추천] (여자 160cm/48kg) 기준

                                적당함 ONE SIZE Size 구매","4.9","","","500개 이상","4,676","82,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662120292-153225","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/2306853","레글런 스티치 후디 집업 멜란지 그레이","[회원추천] (남자 168cm/65kg) 기준

                                큼 L Size 구매","4.8","","","500개 이상","2,051","89,000원","","","","","","","40세 이상
,
여성
에게 인기 많은 상품","남"
"1662120234-152057","https://www.musinsa.com/category/002022","","https://www.musinsa.com/app/goods/1803535","후디드 스웨트 집업 [멜란지 라이트 그레이]","[회원추천] (남자 174cm/73kg) 기준

                                적당함 L Size 구매","4.8","","","1.3천 개 이상","1,675","34,900원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
