web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662123752-168259","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/1595556","우먼즈 사이드 슬릿 니트 스커트 [블랙]","[회원추천] (여자 153cm/50kg) 기준

                                적당함 S Size 구매","4.7","","","700개 이상","2,914","43,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662123764-168327","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/2063237","[DANA 8149] 가을용 커버밴드 뒷트임 에이치라인 생지 롱 스커트 데님 (블랙)","[회원추천] (여자 153cm/46kg) 기준

                                적당함 M Size 구매","4.8","","","200개 이상","1,414","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123800-168794","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/1645760","우먼즈 데님 미디 스커트 [라이트 인디고]","[회원추천] (여자 158cm/48kg) 기준

                                작음 S Size 구매","4.8","","","400개 이상","2,593","33,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662124005-168991","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/2300718","우먼즈 데님 미디 스커트 [워시드 블랙]","[회원추천] (여자 163cm/62kg) 기준

                                큼 L Size 구매","4.8","","","200개 이상","585","33,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123988-168875","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/1645762","우먼즈 데님 미디 스커트 [크림]","[회원추천] (여자 158cm/48kg) 기준

                                적당함 S Size 구매","4.8","","","500개 이상","1,966","33,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662123795-168637","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/1807814","플레인 코튼 스커트","[회원추천] (여자 160cm/44kg) 기준

                                적당함 Ivory S Size 구매","4.9","","","300개 이상","1,122","69,000원","","","","","","","24~28세
,
여성
에게 인기 많은 상품","여"
"1662123829-168806","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/2757204","사선 FKK061A 00014 415 여성 펜슬 스커트","","null","","","","0","1,076,200원","","","","","","","","여"
"1662123775-168446","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/1125915","FIF BACK SLIT SKIRT CHECK","[회원추천] (여자 163cm/49kg) 기준

                                적당함 S Size 구매","4.8","","","200개 이상","1,916","69,000원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662123781-168469","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/1980169","DEEP SLIT LONG SKIRT BLACK","[회원추천] (여자 169cm/53kg) 기준

                                큼 L Size 구매","4.6","","","200개 이상","1,796","53,000원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662123771-168365","https://www.musinsa.com/category/022002","","https://www.musinsa.com/app/goods/2055797","코튼 스판 카고 롱 스커트 카키","[회원추천] (여자 158cm/42kg) 기준

                                적당함 카키 S Size 구매","4.6","","","200개 이상","1,875","42,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
