web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662123411-167773","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2316503","[DANA 8156] 커버밴드 이염제로 에이라인 스커트 데님 (진청)","[회원추천] (여자 159cm/47kg) 기준

                                적당함 S Size 구매","4.8","","","700개 이상","4,062","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123277-167533","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2723817","데님 미니 스커트_SPWJC38G92","[회원추천] (여자 161cm/50kg) 기준

                                적당함 [56]LIGHT INDIGO S[070] Size 구매","5","","","","116","29,900원","","","","","","","","여"
"1662123259-167448","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1618698","[DANA 8130]커버밴드 A라인 데님 스커트(블랙그레이)","[회원추천] (여자 165cm/53kg) 기준

                                적당함 M Size 구매","4.8","","","1천 개 이상","7,709","64,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123502-168153","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2425369","콘치 액티비티 올인원 스커트","[회원추천] (여자 172cm/60kg) 기준

                                적당함 코튼아이보리 M Size 구매","4.9","","","400개 이상","465","24,000원","","","","","","","40세 이상
,
여성
에게 인기 많은 상품","여"
"1662123502-168157","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2425369","콘치 액티비티 올인원 스커트","[회원추천] (여자 160cm/61kg) 기준

                                적당함 소프트블루 M Size 구매","4.9","","","400개 이상","465","24,000원","","","","","","","40세 이상
,
여성
에게 인기 많은 상품","여"
"1662123354-167694","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2111542","우먼즈 비건 레더 미니 스커트 [블랙]","[회원추천] (여자 154cm/44kg) 기준

                                큼 XS Size 구매","4.7","","","200개 이상","1,876","39,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123252-167424","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2744466","벨트백 플리츠 스커트(여성)_CHB3WSK0212AG","","null","","","","0","338,000원","","","","","","","","여"
"1662123309-167549","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1944554","우먼즈 데님 미니 스커트 [워시드 블랙]","[회원추천] (여자 172cm/61kg) 기준

                                적당함 L Size 구매","4.8","","","800개 이상","4,344","31,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123259-167433","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1618698","[DANA 8130]커버밴드 A라인 데님 스커트(블랙그레이)","[회원추천] (여자 167cm/55kg) 기준

                                적당함 M Size 구매","4.8","","","1천 개 이상","7,709","64,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123259-167482","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1618698","[DANA 8130]커버밴드 A라인 데님 스커트(블랙그레이)","[회원추천] (여자 167cm/55kg) 기준

                                작음 M Size 구매","4.8","","","1천 개 이상","7,709","64,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123506-168176","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2551401","우먼즈 슬릿 미니 스코츠 [블랙]","[회원추천] (여자 155cm/46kg) 기준

                                작음 XS Size 구매","4.7","","","300개 이상","2,582","35,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662123411-167765","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2316503","[DANA 8156] 커버밴드 이염제로 에이라인 스커트 데님 (진청)","[회원추천] (여자 170cm/51kg) 기준

                                적당함 S Size 구매","4.8","","","700개 이상","4,062","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123463-168094","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1979473","PLEATS DENIM SKIRT BLACK","[회원추천] (여자 162cm/50kg) 기준

                                적당함 S Size 구매","4.7","","","900개 이상","6,107","59,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123309-167577","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1944554","우먼즈 데님 미니 스커트 [워시드 블랙]","[회원추천] (여자 169cm/55kg) 기준

                                적당함 M Size 구매","4.8","","","800개 이상","4,344","31,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123463-168088","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1979473","PLEATS DENIM SKIRT BLACK","[회원추천] (남자 162cm/55kg) 기준

                                적당함 M Size 구매","4.7","","","900개 이상","6,107","59,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123338-167654","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2551409","우먼즈 플리츠 미니 스커트 [라이트 베이지]","[회원추천] (여자 163cm/46kg) 기준

                                적당함 S Size 구매","4.8","","","50개 이상","371","35,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662123463-168108","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1979473","PLEATS DENIM SKIRT BLACK","[회원추천] (여자 153cm/41kg) 기준

                                적당함 S Size 구매","4.7","","","900개 이상","6,107","59,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123457-167855","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2059977","Velour Track Skirt Navy/Gray","[회원추천] (여자 168cm/55kg) 기준

                                작음 M Size 구매","4.8","","","200개 이상","1,652","54,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123457-167882","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2059977","Velour Track Skirt Navy/Gray","[회원추천] (여자 162cm/48kg) 기준

                                적당함 M Size 구매","4.8","","","200개 이상","1,652","54,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123309-167563","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1944554","우먼즈 데님 미니 스커트 [워시드 블랙]","[회원추천] (여자 169cm/54kg) 기준

                                적당함 M Size 구매","4.8","","","800개 이상","4,344","31,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123463-168042","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1979473","PLEATS DENIM SKIRT BLACK","[회원추천] (여자 164cm/52kg) 기준

                                적당함 S Size 구매","4.7","","","900개 이상","6,107","59,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123463-168022","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1979473","PLEATS DENIM SKIRT BLACK","[회원추천] (여자 163cm/46kg) 기준

                                적당함 S Size 구매","4.7","","","900개 이상","6,107","59,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123411-167795","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2316503","[DANA 8156] 커버밴드 이염제로 에이라인 스커트 데님 (진청)","[회원추천] (여자 162cm/49kg) 기준

                                적당함 S Size 구매","4.8","","","700개 이상","4,062","64,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662123259-167495","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/1618698","[DANA 8130]커버밴드 A라인 데님 스커트(블랙그레이)","[회원추천] (여자 170cm/56kg) 기준

                                적당함 M Size 구매","4.8","","","1천 개 이상","7,709","64,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662123457-167899","https://www.musinsa.com/category/022001","","https://www.musinsa.com/app/goods/2059977","Velour Track Skirt Navy/Gray","[회원추천] (여자 164cm/59kg) 기준

                                작음 M Size 구매","4.8","","","200개 이상","1,652","54,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
