web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662119608-150982","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2743259","빅로고 바람막이 티셔츠 그레이 FA1ANL03-GY","","null","","","","21","69,000원","","","","","","","","남"
"1662119734-151139","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2660728","빈티지 반 집업_오트베이지","[회원추천] (여자 161cm/45kg) 기준

                                적당함 M Size 구매","4.8","","","100개 이상","2,931","72,000원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","남"
"1662119788-151465","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2560852","[SET] 아치로고 카라 맨투맨 셋업_블랙","[회원추천] (여자 158cm/53kg) 기준

                                큼 L Size 구매","4.8","","","800개 이상","2,052","104,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119598-150978","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2710380","[기모] 집업 패치 포켓 스웨트셔츠 베이지","","4","","","","55","44,600원","","","","","","","","남"
"1662119788-151476","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2560852","[SET] 아치로고 카라 맨투맨 셋업_블랙","[회원추천] (여자 163cm/63kg) 기준

                                적당함 M Size 구매","4.8","","","800개 이상","2,052","104,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119788-151507","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2560852","[SET] 아치로고 카라 맨투맨 셋업_블랙","[회원추천] (여자 164cm/55kg) 기준

                                적당함 M Size 구매","4.8","","","800개 이상","2,052","104,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119685-151114","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2749425","로럴 오버핏 기모 반집업 블루","","null","","","","5","55,900원","","","","","","","","남"
"1662119734-151142","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2660728","빈티지 반 집업_오트베이지","[회원추천] (남자 174cm/55kg) 기준

                                적당함 M Size 구매","4.8","","","100개 이상","2,931","72,000원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","남"
"1662119772-151243","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2100524","HALF ZIP-UP SWEATSHIRT WHITE MELANGE","[회원추천] (여자 170cm/58kg) 기준

                                적당함 화이트멜란지 FREE Size 구매","4.7","","","4.7천 개 이상","22,133","62,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662119784-151427","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/1560932","빈티지 반 집업_그레이","[회원추천] (남자 173cm/70kg) 기준

                                적당함 그레이 FREE Size 구매","4.8","","","3.9천 개 이상","26,071","72,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119775-151287","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2054385","빈티지 반 집업_네이비","[회원추천] (여자 164cm/60kg) 기준

                                적당함 FREE Size 구매","4.8","","","4천 개 이상","14,653","72,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119788-151480","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2560852","[SET] 아치로고 카라 맨투맨 셋업_블랙","[회원추천] (남자 178cm/96kg) 기준

                                적당함 XL Size 구매","4.8","","","800개 이상","2,052","104,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119772-151249","https://www.musinsa.com/category/001008","","https://www.musinsa.com/app/goods/2100524","HALF ZIP-UP SWEATSHIRT WHITE MELANGE","[회원추천] (여자 163cm/59kg) 기준

                                적당함 화이트멜란지 FREE Size 구매","4.7","","","4.7천 개 이상","22,133","62,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
