web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662115520-95943","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1388775","[쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 [블랙]","[회원추천] (남자 178cm/80kg) 기준

                                적당함 L Size 구매","4.9","","","2.7만 개 이상","15,260","16,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115382-93079","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1503352","TSHIRT FLOWERMARDI_WHITE GREEN","[회원추천] (여자 163cm/50kg) 기준

                                적당함 FREE Size 구매","4.9","","","3.2만 개 이상","61,129","42,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662115272-90991","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2612829","[패키지][쿨코튼] CGP 아치 로고 티셔츠","[회원추천] (남자 179cm/75kg) 기준

                                큼 화이트 L Size 구매","4.8","","","4.7천 개 이상","4,472","67,900원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662115578-97201","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2086653","레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트]","[회원추천] (남자 175cm/75kg) 기준

                                적당함 L Size 구매","4.9","","","10.2만 개 이상","34,855","13,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115573-97081","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2034137","릴렉스 핏 크루 넥 반팔 티셔츠 2팩","[회원추천] (남자 186cm/67kg) 기준

                                적당함 01. 화이트/블랙 XL Size 구매","4.9","","","5.2만 개 이상","18,230","21,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115404-93588","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1417692","우먼즈 베이식 크루 넥 반팔 티셔츠 [블랙]","[회원추천] (여자 159cm/54kg) 기준

                                적당함 M Size 구매","4.9","","","1.7만 개 이상","14,619","12,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662115565-96903","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/903340","빅 트위치 로고 티셔츠 화이트","[회원추천] (남자 172cm/58kg) 기준

                                적당함 M Size 구매","4.8","","","4.2만 개 이상","112,414","35,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662115321-92126","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1685307","고밀도순면기본반팔티셔츠_3팩 MATS0101","[회원추천] (남자 180cm/76kg) 기준

                                적당함 WH 105 Size 구매","4.8","","","3.4만 개 이상","13,847","19,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115227-89970","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1827192","(22SS) UNIVERSITY DAN TEE BLACK / BLUE","[회원추천] (남자 175cm/70kg) 기준

                                적당함 L Size 구매","4.9","","","7.8천 개 이상","14,007","42,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115426-94087","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2500583","93 TEE [WHITE]","[회원추천] (남자 182cm/80kg) 기준

                                큼 L Size 구매","4.8","","","9.6천 개 이상","23,632","42,000원","","","","","","","19~23세
,
남성
에게 인기 많은 상품","남"
"1662115417-93920","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1793420","빅 트위치 로고 티셔츠 블랙","[회원추천] (여자 163cm/54kg) 기준

                                적당함 S Size 구매","4.8","","","1.6만 개 이상","44,221","35,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","남"
"1662115187-89115","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1943792","쿨 코튼 2-PACK 티셔츠 화이트","[회원추천] (남자 180cm/80kg) 기준

                                적당함 M Size 구매","4.9","","","1.3만 개 이상","16,650","43,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115330-92242","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1827193","(22SS) UNIVERSITY DAN TEE WHITE / RED","[회원추천] (여자 156cm/45kg) 기준

                                큼 S Size 구매","4.9","","","1.4만 개 이상","34,605","42,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662115465-94755","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2403601","Dont Cry Teddy 피그먼트 반팔티 스모크블랙","[회원추천] (남자 178cm/62kg) 기준

                                적당함 M Size 구매","4.8","","","9.5천 개 이상","18,640","48,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662115218-89755","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1454812","[패키지][CHUBBY]EMBROIDERY TEE (5COLOR)","[회원추천] (남자 177cm/60kg) 기준

                                적당함 White M Size 구매","4.8","","","1.2만 개 이상","24,664","59,800원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115205-89431","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1944612","cut-heavy PIGMENT tshirts(CHARCOAL)","[회원추천] (남자 174cm/70kg) 기준

                                적당함 M Size 구매","4.9","","","8.1천 개 이상","9,439","53,200원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115257-90720","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2406942","Racing 22 Tee White","[회원추천] (여자 162cm/50kg) 기준

                                큼 M Size 구매","4.9","","","1.1만 개 이상","22,934","45,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115272-90984","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2612829","[패키지][쿨코튼] CGP 아치 로고 티셔츠","[회원추천] (여자 166cm/67kg) 기준

                                큼 크림 L Size 구매","4.8","","","4.7천 개 이상","4,472","67,900원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662115520-95989","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1388775","[쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 [블랙]","[회원추천] (남자 184cm/82kg) 기준

                                적당함 2XL Size 구매","4.9","","","2.7만 개 이상","15,260","16,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115317-91929","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/751030","라인 서퍼맨 티셔츠 화이트","[회원추천] (여자 165cm/55kg) 기준

                                큼 M Size 구매","4.8","","","1.7만 개 이상","40,026","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115249-90518","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2477586","사운드 로고 반팔 티셔츠","[회원추천] (남자 176cm/68kg) 기준

                                적당함 WHITE 1 Size 구매","4.8","","","1.7천 개 이상","1,490","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115399-93445","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2474511","릴렉스 핏 크루 넥 반팔 티셔츠 2 [화이트]","[회원추천] (남자 180cm/80kg) 기준

                                적당함 XL Size 구매","4.9","","","3.6천 개 이상","1,411","13,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115205-89439","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/1944612","cut-heavy PIGMENT tshirts(CHARCOAL)","[회원추천] (남자 165cm/62kg) 기준

                                큼 S Size 구매","4.9","","","8.1천 개 이상","9,439","53,200원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115578-97217","https://www.musinsa.com/category/001001","","https://www.musinsa.com/app/goods/2086653","레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트]","[회원추천] (남자 170cm/56kg) 기준

                                적당함 S Size 구매","4.9","","","10.2만 개 이상","34,855","13,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
