web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662118700-142150","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/2314616","에센셜 후드 스웻 셔츠 (MELANGE GREY)","[회원추천] (남자 181cm/78kg) 기준

                                적당함 XL Size 구매","4.8","","","6.4천 개 이상","10,336","43,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662118697-142100","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/1615829","로그 오버핏 기모 후드 그레이 YHHD2302","[회원추천] (여자 164cm/49kg) 기준

                                적당함 그레이 M Size 구매","4.8","","","3.3만 개 이상","54,757","36,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118548-137949","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/1676080","아크 로고 후디 (네이비)","[회원추천] (남자 170cm/65kg) 기준

                                적당함 L Size 구매","4.9","","","5.8천 개 이상","15,957","72,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118674-141385","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/2106707","슬레이크 후드 네이비 HHHD3397","[회원추천] (여자 170cm/48kg) 기준

                                적당함 네이비 L Size 구매","4.9","","","1.2만 개 이상","22,711","41,900원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662118722-142763","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/2099882","미시간 울버린 피그먼트 후드티 블랙 차콜","[회원추천] (남자 174cm/73kg) 기준

                                적당함 [NO기모]EXTRA LARGE Size 구매","4.8","","","2.2만 개 이상","51,550","79,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662118427-134695","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/2115266","하비스트 오버핏 기모 후드 차콜 OYHD2393","[회원추천] (남자 172cm/85kg) 기준

                                큼 차콜 L Size 구매","4.9","","","3.4천 개 이상","8,061","41,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118640-140313","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/2111382","[패키지] NYC LOCATION HOOD T-SHIRTS (12COLOR) [LRQSCTH331M]","[회원추천] (남자 180cm/83kg) 기준

                                적당함 블랙 L Size 구매","4.8","","","3천 개 이상","5,759","138,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662118718-142634","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/2043036","[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_멜란지그레이","[회원추천] (여자 166cm/47kg) 기준

                                적당함 S(후드) Size 구매","4.8","","","2만 개 이상","62,791","97,900원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662118714-142553","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/644026","사인 로고 후드 그레이","[회원추천] (남자 173cm/63kg) 기준

                                적당함 L Size 구매","4.8","","","1.8만 개 이상","60,051","69,000원","","","","","","","23세 이하
,
여성
에게 인기 많은 상품","남"
"1662118707-142388","https://www.musinsa.com/category/001004","","https://www.musinsa.com/app/goods/2326935","(22FW) 2 TONE ARCH HOODIE GRAY","[회원추천] (남자 172cm/58kg) 기준

                                적당함 M(논기모) Size 구매","4.8","","","1.2만 개 이상","23,238","79,000원","","","","","","","19~23세
,
남성
에게 인기 많은 상품","남"
