web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662119013-143618","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1943098","이안 버튼 카라 반팔 니트 소라","[회원추천] (여자 165cm/60kg) 기준

                                적당함 2(L) Size 구매","4.8","","","600개 이상","960","54,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119192-146830","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1139099","화란 세미오버 니트 모카 베이지","[회원추천] (남자 173cm/68kg) 기준

                                적당함 46 Size 구매","4.9","","","3.3천 개 이상","6,862","89,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119330-149346","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2469000","000 Black Knit Plain Pattern Button Collar Shirts","[회원추천] (여자 164cm/43kg) 기준

                                적당함 L Size 구매","4.9","","","3.9천 개 이상","3,748","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119063-144764","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2510177","포멀릭 리브드 티셔츠 [BLUEGREY]","[회원추천] (남자 168cm/70kg) 기준

                                적당함 M Size 구매","4.9","","","2.8천 개 이상","2,764","42,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662119143-145988","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/655833","소프트 베이직 터틀넥 니트 블랙","[회원추천] (남자 188cm/80kg) 기준

                                적당함 L Size 구매","4.7","","","2.9천 개 이상","10,226","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119222-147460","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/876284","[블랙]SET B-스테디 하프 폴라넥","[회원추천] (남자 176cm/66kg) 기준

                                적당함 2 Brown Size 구매","4.7","","","6.4천 개 이상","10,431","46,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119384-150098","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1558847","하프 터틀넥 니트 세트","[회원추천] (남자 182cm/85kg) 기준

                                적당함 blackL brownL Size 구매","4.8","","","4.2만 개 이상","26,917","66,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118997-143122","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2645822","[미나브X깡스타일리스트] 2PACK 코튼모달 미니멀 와플 + 퓨어코튼 펀칭 니트","[회원추천] (남자 167cm/60kg) 기준

                                적당함 카라니트 [그린] M Size 구매","4.8","","","800개 이상","1,596","130,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119222-147409","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/876284","[블랙]SET B-스테디 하프 폴라넥","[회원추천] (여자 180cm/80kg) 기준

                                적당함 4 Black Size 구매","4.7","","","6.4천 개 이상","10,431","46,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119010-143527","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1999725","[패키지] 다니엘 오픈 카라 니트 반팔","[회원추천] (남자 178cm/78kg) 기준

                                적당함 스카이블루 3 Size 구매","4.9","","","600개 이상","868","100,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119247-147962","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1548457","탑필 울 라운드 니트 (웜샌드)","[회원추천] (남자 176cm/78kg) 기준

                                적당함 L Size 구매","4.9","","","6.8천 개 이상","11,999","77,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119302-148793","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2032985","이비자 네츄럴 메시드 니트 네츄럴 그린","[회원추천] (남자 182cm/73kg) 기준

                                적당함 L Size 구매","4.9","","","2.4천 개 이상","6,389","119,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119162-146272","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1275841","화란 세미오버 니트 제주","[회원추천] (남자 178cm/62kg) 기준

                                적당함 48 Size 구매","4.9","","","4천 개 이상","5,478","89,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662119326-149176","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2368775","이레귤러 스트라이프 니트 베스트_민트그린","[회원추천] (남자 170cm/63kg) 기준

                                적당함 M Size 구매","4.8","","","4.7천 개 이상","12,051","64,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119143-146045","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/655833","소프트 베이직 터틀넥 니트 블랙","[회원추천] (남자 177cm/65kg) 기준

                                적당함 M Size 구매","4.7","","","2.9천 개 이상","10,226","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119143-146025","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/655833","소프트 베이직 터틀넥 니트 블랙","[회원추천] (남자 184cm/64kg) 기준

                                적당함 L Size 구매","4.7","","","2.9천 개 이상","10,226","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119044-144416","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1548467","탑필 캐시미어 라운드 니트 (블랙)","[회원추천] (남자 176cm/75kg) 기준

                                적당함 L Size 구매","4.9","","","4.5천 개 이상","6,166","109,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119355-149788","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2351775","Lozenge Half Knit (Green)","[회원추천] (남자 175cm/71kg) 기준

                                적당함 2 Size Size 구매","4.9","","","5.3천 개 이상","8,419","109,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119059-144731","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/652727","소프트코튼 드랍숄더 오버핏 와플 니트 OATMEAL","[회원추천] (남자 180cm/66kg) 기준

                                큼 XL Size 구매","4.7","","","700개 이상","6,442","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119156-146218","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1710363","크루넥 리브 니트 스웨터_아이보리","[회원추천] (남자 169cm/64kg) 기준

                                적당함 IVORY XS Size 구매","4.8","","","8.4천 개 이상","12,585","65,600원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119055-144565","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2179138","[니티드X깡스타일리스트] 소프트코튼 헤비 와플 니트 BLACK","[회원추천] (남자 172cm/70kg) 기준

                                적당함 L Size 구매","4.8","","","8.6천 개 이상","4,991","89,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119150-146076","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1275836","화란 세미오버 니트 애쉬 블루","[회원추천] (남자 168cm/60kg) 기준

                                적당함 46 Size 구매","4.9","","","3.4천 개 이상","7,262","89,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119297-148739","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1936829","플랙스 라운드 니트 반팔 블랙","[회원추천] (남자 179cm/65kg) 기준

                                적당함 3 Size 구매","4.8","","","4.1천 개 이상","4,743","48,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119087-145343","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2560614","이비자 코스트 시트론 레트로 네츄럴 메쉬 니트 씨블루","[회원추천] (남자 168cm/64kg) 기준

                                큼 M Size 구매","4.9","","","1천 개 이상","6,440","139,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119108-145463","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2723757","[짱구대디PICK] 울 새들 라운드 니트 - 5 COLOR","[회원추천] (남자 171cm/67kg) 기준

                                적당함 GRAY M Size 구매","4.7","","","400개 이상","1,274","59,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119390-150226","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2139133","[드로우핏X깡스타일리스트] 모크넥 니트 티셔츠 SET","[회원추천] (남자 175cm/65kg) 기준

                                적당함 DARK BROWN XL Size 구매","4.9","","","3.8만 개 이상","15,613","60,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119021-143766","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/606066","소프트코튼 드랍숄더 오버핏 와플 니트 NAVY","[회원추천] (남자 172cm/66kg) 기준

                                적당함 L Size 구매","4.7","","","600개 이상","5,881","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119044-144348","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1548467","탑필 캐시미어 라운드 니트 (블랙)","[회원추천] (남자 178cm/68kg) 기준

                                적당함 L Size 구매","4.9","","","4.5천 개 이상","6,166","109,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119048-144517","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2477599","[미나브X깡스타일리스트] 코튼모달 미니멀 와플 하프니트 [그린]","[회원추천] (남자 179cm/80kg) 기준

                                적당함 XL Size 구매","4.8","","","3.7천 개 이상","3,102","55,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119059-144679","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/652727","소프트코튼 드랍숄더 오버핏 와플 니트 OATMEAL","[회원추천] (남자 182cm/90kg) 기준

                                큼 XL Size 구매","4.7","","","700개 이상","6,442","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119390-150205","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2139133","[드로우핏X깡스타일리스트] 모크넥 니트 티셔츠 SET","[회원추천] (남자 175cm/85kg) 기준

                                적당함 BLACK XL Size 구매","4.9","","","3.8만 개 이상","15,613","60,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118990-142962","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1595032","벌키 브러쉬 아가일 니트 BLACK","[회원추천] (남자 177cm/65kg) 기준

                                적당함 M Size 구매","4.8","","","6.1천 개 이상","21,748","89,000원","","","","","","","19~23세
,
남성
에게 인기 많은 상품","남"
"1662119024-143881","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1130207","소프트 코튼 크루넥 니트 빈티지브라운","[회원추천] (남자 172cm/65kg) 기준

                                적당함 M Size 구매","4.7","","","2.5천 개 이상","8,029","45,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119156-146245","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1710363","크루넥 리브 니트 스웨터_아이보리","[회원추천] (여자 171cm/64kg) 기준

                                적당함 IVORY XS Size 구매","4.8","","","8.4천 개 이상","12,585","65,600원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119359-149864","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1710327","크루넥 리브 니트 스웨터_블랙","[회원추천] (남자 182cm/74kg) 기준

                                적당함 BLACK L Size 구매","4.8","","","1.9만 개 이상","21,948","65,600원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662119217-147338","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1925477","에어리 오픈 카라 반팔 니트 [BLACK]","[회원추천] (남자 182cm/75kg) 기준

                                적당함 XL Size 구매","4.8","","","3천 개 이상","4,431","56,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662119231-147666","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/2510169","포멀릭 리브드 티셔츠 [BLACK]","[회원추천] (남자 169cm/55kg) 기준

                                적당함 M Size 구매","4.9","","","4.1천 개 이상","3,862","42,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662119125-145672","https://www.musinsa.com/category/001006","","https://www.musinsa.com/app/goods/1567133","화란 세미오버 니트 애쉬 그레이","[회원추천] (남자 170cm/63kg) 기준

                                적당함 44 Size 구매","4.9","","","4.1천 개 이상","5,096","89,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
