web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662115825-99460","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2139208","에센셜 웜 코튼 2-PACK 롱슬리브","[회원추천] (남자 170cm/55kg) 기준

                                적당함 M Size 구매","4.9","","","2.7천 개 이상","3,206","59,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662115786-98729","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1144990","베이식 긴팔 티셔츠 [오트밀]","[회원추천] (여자 162cm/53kg) 기준

                                큼 S Size 구매","4.8","","","2.8천 개 이상","1,331","13,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662116019-103559","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1571143","빅 트위치 루즈핏 긴팔 티셔츠 화이트","[회원추천] (남자 178cm/70kg) 기준

                                큼 M Size 구매","4.8","","","5.9천 개 이상","21,072","39,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","남"
"1662116073-105093","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1130844","[패키지] NYC LOCATION LONG SLEEVE T-SHIRTS (11COLOR) [LRQSCTR311M]","[회원추천] (남자 177cm/70kg) 기준

                                적당함 화이트 M Size 구매","4.8","","","1.5만 개 이상","36,949","98,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116083-105413","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/407067","하이 벤트 레이어드 티셔츠 [WHITE]","[회원추천] (남자 176cm/68kg) 기준

                                적당함 L Size 구매","4.8","","","1.4만 개 이상","22,468","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115811-99140","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1144991","베이식 긴팔 티셔츠 [다크 그레이]","[회원추천] (남자 180cm/65kg) 기준

                                적당함 L Size 구매","4.8","","","2천 개 이상","1,505","13,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115950-101969","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2390729","스트라이프 릴렉스드 크루 넥 긴팔 티셔츠 [블랙]","[회원추천] (남자 178cm/70kg) 기준

                                적당함 L Size 구매","4.8","","","2.7천 개 이상","2,790","23,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115884-100598","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/434861","터틀 하이 벤트 레이어드 티셔츠 [BLACK]","[회원추천] (남자 179cm/65kg) 기준

                                적당함 M Size 구매","4.8","","","2.4천 개 이상","6,952","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115753-98018","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1584038","[패키지] Longsleeve 레이어드 트임 긴팔티","[회원추천] (남자 177cm/62kg) 기준

                                적당함 스톤그레이(트임) M Size 구매","4.8","","","2.2천 개 이상","3,121","51,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115884-100541","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/434861","터틀 하이 벤트 레이어드 티셔츠 [BLACK]","[회원추천] (남자 174cm/70kg) 기준

                                적당함 M Size 구매","4.8","","","2.4천 개 이상","6,952","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115839-99745","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1144996","베이식 긴팔 티셔츠 [네이비]","[회원추천] (남자 170cm/58kg) 기준

                                적당함 L Size 구매","4.8","","","1.8천 개 이상","1,070","13,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115871-100209","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1558846","유니섹스 365 긴팔티 세트","[회원추천] (남자 170cm/65kg) 기준

                                적당함 whiteM blackM Size 구매","4.8","","","3천 개 이상","4,178","72,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115820-99428","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/876246","[블랙]리뉴얼 B-스테디 하프 폴라넥-아이보리","[회원추천] (남자 167cm/60kg) 기준

                                적당함 2 Size 구매","4.8","","","4.3천 개 이상","4,568","23,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116068-104872","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1265162","[패키지] 에센셜 레이어드 롱 슬리브 티셔츠","[회원추천] (남자 166cm/59kg) 기준

                                적당함 스모크 그레이 M Size 구매","4.8","","","1.5만 개 이상","14,146","78,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115769-98300","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1005536","CC8C 롱슬리브 무지 긴팔티 (2PCK)","[회원추천] (여자 160cm/55kg) 기준

                                적당함 WHITE M Size 구매","4.6","","","3.8천 개 이상","9,941","53,500원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115811-99153","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1144991","베이식 긴팔 티셔츠 [다크 그레이]","[회원추천] (여자 150cm/42kg) 기준

                                적당함 S Size 구매","4.8","","","2천 개 이상","1,505","13,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115884-100535","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/434861","터틀 하이 벤트 레이어드 티셔츠 [BLACK]","[회원추천] (남자 180cm/79kg) 기준

                                적당함 XXL Size 구매","4.8","","","2.4천 개 이상","6,952","39,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115950-102011","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2390729","스트라이프 릴렉스드 크루 넥 긴팔 티셔츠 [블랙]","[회원추천] (남자 183cm/90kg) 기준

                                적당함 2XL Size 구매","4.8","","","2.7천 개 이상","2,790","23,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115843-99871","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1575853","릴렉스드 긴팔 티셔츠 [화이트]","[회원추천] (남자 176cm/56kg) 기준

                                적당함 M Size 구매","4.8","","","2.4천 개 이상","2,392","20,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115803-99059","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2623846","[세트상품]시스루 크롭 니트 + 롱 슬리브리스","[회원추천] (여자 159cm/50kg) 기준

                                적당함 그레이 FREE Size 구매","4.7","","","400개 이상","2,704","39,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662115994-102950","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2058139","(22FW) EMBROIDERY HANDSOME DAN STRIPE LS BLACK","[회원추천] (남자 181cm/85kg) 기준

                                적당함 XL Size 구매","4.8","","","7천 개 이상","13,496","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115773-98407","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/876556","LHERITAGE 롱 슬리브 (차콜)","[회원추천] (남자 182cm/76kg) 기준

                                큼 L (기존 사이즈) Size 구매","4.7","","","2천 개 이상","7,502","38,000원","","","","","","","40세 이상
,
여성
에게 인기 많은 상품","남"
"1662115963-102288","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1629100","우먼즈 릴렉스드 크루 넥 긴팔 티셔츠 [블랙]","[회원추천] (여자 172cm/56kg) 기준

                                적당함 S Size 구매","4.8","","","5.5천 개 이상","3,797","15,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662115950-101957","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2390729","스트라이프 릴렉스드 크루 넥 긴팔 티셔츠 [블랙]","[회원추천] (남자 185cm/75kg) 기준

                                적당함 XL Size 구매","4.8","","","2.7천 개 이상","2,790","23,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115777-98548","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1629106","우먼즈 릴렉스드 크루 넥 긴팔 티셔츠 [크림]","[회원추천] (여자 159cm/52kg) 기준

                                적당함 XS Size 구매","4.8","","","2.9천 개 이상","2,973","15,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662115853-100112","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2313311","오리지널 라글란 롱 슬리브_차콜","[회원추천] (남자 185cm/72kg) 기준

                                적당함 FREE Size 구매","4.9","","","400개 이상","2,954","49,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662115850-100092","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2355720","T-Logo L/S Tee Navy","[회원추천] (여자 153cm/50kg) 기준

                                적당함 XL Size 구매","4.9","","","600개 이상","3,373","55,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","남"
"1662115923-101403","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/604387","롱슬리브 헤비 오버핏 스트라이프 단가라 블랙","[회원추천] (남자 175cm/68kg) 기준

                                적당함 M Size 구매","4.7","","","900개 이상","5,726","48,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","여"
"1662115923-101419","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/604387","롱슬리브 헤비 오버핏 스트라이프 단가라 블랙","[회원추천] (남자 170cm/76kg) 기준

                                적당함 M Size 구매","4.7","","","900개 이상","5,726","48,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","여"
"1662115753-98054","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1584038","[패키지] Longsleeve 레이어드 트임 긴팔티","[회원추천] (남자 174cm/72kg) 기준

                                적당함 화이트(트임) M Size 구매","4.8","","","2.2천 개 이상","3,121","51,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115983-102716","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2527360","[패키지] 쿨링 오버사이즈 슬라브 티셔츠-7컬러","[회원추천] (남자 188cm/83kg) 기준

                                적당함 블랙 L Size 구매","4.7","","","2천 개 이상","2,931","63,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116087-105508","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1129745","베이식 긴팔 티셔츠 [블랙]","[회원추천] (여자 160cm/56kg) 기준

                                적당함 2XL Size 구매","4.8","","","4.3만 개 이상","26,703","13,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115857-100151","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2392497","우먼즈 크루 넥 크롭 긴팔 티셔츠 [블랙]","[회원추천] (여자 163cm/58kg) 기준

                                적당함 L Size 구매","4.8","","","500개 이상","948","16,900원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","여"
"1662116111-105905","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2149254","베이식 긴팔 티셔츠 2팩","[회원추천] (남자 180cm/68kg) 기준

                                적당함 03.블랙/블랙 2XL Size 구매","4.8","","","4만 개 이상","22,385","25,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116077-105241","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1190264","폰테 크루 넥 긴팔 티셔츠 [오프 화이트]","[회원추천] (남자 167cm/80kg) 기준

                                적당함 XL Size 구매","4.8","","","1.8만 개 이상","18,336","19,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115825-99524","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2139208","에센셜 웜 코튼 2-PACK 롱슬리브","[회원추천] (남자 176cm/90kg) 기준

                                적당함 XXL Size 구매","4.9","","","2.7천 개 이상","3,206","59,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662115955-102095","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1190282","폰테 터틀 넥 긴팔 티셔츠 [블랙]","[회원추천] (남자 177cm/80kg) 기준

                                적당함 L Size 구매","4.8","","","5천 개 이상","8,570","20,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115963-102306","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1629100","우먼즈 릴렉스드 크루 넥 긴팔 티셔츠 [블랙]","[회원추천] (여자 154cm/52kg) 기준

                                큼 S Size 구매","4.8","","","5.5천 개 이상","3,797","15,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662116100-105701","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/404474","Longsleeve 무지 긴팔티","[회원추천] (남자 173cm/65kg) 기준

                                적당함 미드나잇네이비 XL Size 구매","4.7","","","5.6만 개 이상","55,430","47,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115903-100972","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2392496","우먼즈 크루 넥 크롭 긴팔 티셔츠 [화이트]","[회원추천] (여자 172cm/52kg) 기준

                                적당함 S Size 구매","4.8","","","600개 이상","1,619","16,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662115753-98034","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1584038","[패키지] Longsleeve 레이어드 트임 긴팔티","[회원추천] (남자 174cm/67kg) 기준

                                적당함 구스그레이(트임) L Size 구매","4.8","","","2.2천 개 이상","3,121","51,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115839-99794","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1144996","베이식 긴팔 티셔츠 [네이비]","[회원추천] (남자 174cm/65kg) 기준

                                적당함 L Size 구매","4.8","","","1.8천 개 이상","1,070","13,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115923-101414","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/604387","롱슬리브 헤비 오버핏 스트라이프 단가라 블랙","[회원추천] (남자 179cm/80kg) 기준

                                적당함 L Size 구매","4.7","","","900개 이상","5,726","48,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","여"
"1662116077-105200","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1190264","폰테 크루 넥 긴팔 티셔츠 [오프 화이트]","[회원추천] (남자 173cm/62kg) 기준

                                적당함 M Size 구매","4.8","","","1.8만 개 이상","18,336","19,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116079-105340","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/407066","하이 벤트 레이어드 티셔츠 [BLACK]","[회원추천] (남자 174cm/70kg) 기준

                                적당함 L Size 구매","4.8","","","9천 개 이상","11,591","39,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662115983-102756","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2527360","[패키지] 쿨링 오버사이즈 슬라브 티셔츠-7컬러","[회원추천] (남자 174cm/68kg) 기준

                                적당함 블랙 M Size 구매","4.7","","","2천 개 이상","2,931","63,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115963-102301","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1629100","우먼즈 릴렉스드 크루 넥 긴팔 티셔츠 [블랙]","[회원추천] (여자 155cm/57kg) 기준

                                적당함 S Size 구매","4.8","","","5.5천 개 이상","3,797","15,900원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662115834-99705","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1190265","폰테 크루 넥 긴팔 티셔츠 [크림]","[회원추천] (남자 182cm/76kg) 기준

                                적당함 XL Size 구매","4.8","","","2천 개 이상","2,283","19,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662116042-104185","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/710323","2PACK 베이직 레이어드 티셔츠","[회원추천] (남자 183cm/76kg) 기준

                                큼 XL 아이보리 Size 구매","4.7","","","700개 이상","12,986","78,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662115920-101243","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/2058169","(22FW) EMBROIDERY HANDSOME DAN LS WHITE","[회원추천] (남자 172cm/60kg) 기준

                                적당함 M Size 구매","4.8","","","2.9천 개 이상","6,761","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115972-102468","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/876277","[블랙]리뉴얼 B-스테디 하프 폴라넥-블랙","[회원추천] (남자 173cm/100kg) 기준

                                적당함 3 Size 구매","4.8","","","1.3만 개 이상","11,542","23,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662115846-99976","https://www.musinsa.com/category/001010","","https://www.musinsa.com/app/goods/1728665","K126 워크웨어 포켓 긴팔티 남여공용","[회원추천] (남자 177cm/76kg) 기준

                                적당함 블랙 L(110-115) Size 구매","4.8","","","900개 이상","6,345","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
