web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662118304-133289","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1817394","[3-PACK]베이직 트래블러 피그먼트 스웨트셔츠","[회원추천] (남자 170cm/69kg) 기준

                                큼 [NO기모]LARGE Size 구매","4.7","","","1.5만 개 이상","30,277","150,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118222-131245","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1563621","C 로고 맨투맨 블랙","[회원추천] (남자 181cm/65kg) 기준

                                적당함 L Size 구매","4.8","","","1.3만 개 이상","22,365","59,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118031-127927","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/2313445","90S 트랙 스웨트셔츠_블랙","[회원추천] (남자 165cm/54kg) 기준

                                큼 FREE Size 구매","4.9","","","700개 이상","8,505","85,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662118279-132709","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/2085371","[패키지] 헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 2PACK KJMT2369 / KJMT2400","[회원추천] (남자 175cm/67kg) 기준

                                적당함 차콜 M Size 구매","4.8","","","2.7만 개 이상","20,385","63,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118051-128224","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1354131","V.S.C SWEAT(NAVY)_NAVY","[회원추천] (남자 181cm/79kg) 기준

                                큼 M Size 구매","4.8","","","2.6천 개 이상","4,810","73,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118134-129539","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1272201","LOCATION CREWNECK [IVORY]","[회원추천] (여자 154cm/62kg) 기준

                                적당함 M Size 구매","4.7","","","4천 개 이상","16,254","58,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118318-133647","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/2114319","ROUND LOGO CREWNECK SWEATSHIRT BLACK","[회원추천] (여자 158cm/55kg) 기준

                                큼 M NO기모 Size 구매","4.8","","","5.5천 개 이상","19,275","59,000원","","","","","","","19~23세
,
여성
에게 인기 많은 상품","여"
"1662118247-131851","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1155974","10주년 950g 10th mtm-deep black-[오버핏]","[회원추천] (남자 173cm/70kg) 기준

                                적당함 L Size 구매","4.8","","","2.1천 개 이상","3,741","68,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118016-127666","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1536398","[처비][미들 테리] 스트링 스웨트셔츠 차콜","[회원추천] (남자 170cm/59kg) 기준

                                적당함 M Size 구매","4.8","","","3.4천 개 이상","20,702","49,600원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118328-133996","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/644037","스몰 사인 로고 맨투맨 블랙","[회원추천] (여자 168cm/66kg) 기준

                                적당함 M Size 구매","4.7","","","1만 개 이상","32,349","59,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662118042-128125","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/2294700","C 로고 맨투맨 멜란지 그레이","[회원추천] (남자 175cm/60kg) 기준

                                적당함 L Size 구매","4.8","","","1천 개 이상","1,879","59,000원","","","","","","","19~23세
,
남성
에게 인기 많은 상품","남"
"1662118314-133615","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/897632","캠프 바시티 피그먼트 스웨트셔츠 블루 섀도우","[회원추천] (남자 178cm/75kg) 기준

                                적당함 [NO기모]EXTRA LARGE Size 구매","4.7","","","1만 개 이상","50,266","69,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118128-129474","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1642887","헤비웨이트 오버사이즈 스웨트셔츠 [블랙]","[회원추천] (남자 180cm/95kg) 기준

                                적당함 2XL Size 구매","4.9","","","1만 개 이상","5,901","28,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662118244-131749","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1563623","C 로고 맨투맨 네이비","[회원추천] (남자 180cm/71kg) 기준

                                적당함 L Size 구매","4.8","","","1.3만 개 이상","31,376","59,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117967-126253","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/2083483","하프 집업 스웻셔츠 쇼츠세트-라이트그레이","[회원추천] (여자 162cm/58kg) 기준

                                적당함 S(여성) Size 구매","4.8","","","1.2천 개 이상","3,820","103,000원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","남"
"1662117984-126780","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/2328154","(22FW) UNIVERSITY DAN CREWNECK NAVY","[회원추천] (여자 159cm/53kg) 기준

                                큼 S(논기모) Size 구매","4.9","","","2.1천 개 이상","3,193","72,000원","","","","","","","19~23세
,
남성
에게 인기 많은 상품","남"
"1662118037-128030","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1811945","스트라이프 럭비 맨투맨 네이비","[회원추천] (남자 175cm/82kg) 기준

                                큼 L Size 구매","4.8","","","5.9천 개 이상","25,735","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118003-127226","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/2190732","우먼즈 크롭 베어프렌즈 엠보자수 맨투맨 오트밀(FCB3TS355W)","[회원추천] (여자 166cm/50kg) 기준

                                적당함 오트밀 M 쭈리 Size 구매","4.9","","","6.3천 개 이상","20,564","79,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662118321-133790","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1595528","(22ALL) (BY P.E.DEPT) UNIVERSITY HANDSOME DAN CREWNECK NAVY","[회원추천] (여자 176cm/64kg) 기준

                                적당함 L(기모) Size 구매","4.9","","","3.3만 개 이상","68,118","72,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117964-126129","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/2328113","(22FW) [ONEMILE WEAR] SMALL ARCH CREWNECK BLACK","[회원추천] (남자 178cm/73kg) 기준

                                적당함 L(논기모) Size 구매","4.8","","","1.8천 개 이상","4,182","59,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662118257-132152","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1783595","Half  Zip-Up M-Logo Sweat  (JM5TSU838MW)","[회원추천] (남자 177cm/70kg) 기준

                                적당함 M Size 구매","4.9","","","8.6천 개 이상","23,228","69,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","남"
"1662118088-128774","https://www.musinsa.com/category/001005","","https://www.musinsa.com/app/goods/1759350","[SET] 클럽 에센셜 컴포트 셋업 (포토카드 증정)","[회원추천] (여자 167cm/58kg) 기준

                                적당함 클럽 에센셜 맨투맨/블랙 M Size 구매","4.8","","","1.7만 개 이상","23,516","98,000원","","","","","","","24~33세
,
여성
에게 인기 많은 상품","남"
