web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662117317-122738","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/1801113","22S/S 오버핏 피케티셔츠 (그레이블루)","[회원추천] (남자 178cm/76kg) 기준

                                적당함 L Size 구매","4.8","","","1.1천 개 이상","1,627","39,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662117396-125085","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2491348","012502 솔리드 폴로 티셔츠","[회원추천] (여자 158cm/56kg) 기준

                                적당함 12더스티민트 S Size 구매","4.8","","","1.2만 개 이상","3,825","19,800원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662117409-125550","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2477667","[미나브X깡스타일리스트] 퓨어코튼 펀칭 카라 니트 [그린]","[회원추천] (남자 184cm/105kg) 기준

                                적당함 XXL Size 구매","4.8","","","9.6천 개 이상","12,070","75,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117396-125138","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2491348","012502 솔리드 폴로 티셔츠","[회원추천] (남자 170cm/69kg) 기준

                                적당함 23블랙 M Size 구매","4.8","","","1.2만 개 이상","3,825","19,800원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662117298-122177","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/1387529","슬릿 넥 피케 폴로 셔츠 [머쉬룸]","[회원추천] (남자 173cm/66kg) 기준

                                적당함 M Size 구매","4.8","","","3.6천 개 이상","4,501","25,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662117370-124353","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2477673","[미나브X깡스타일리스트] 퓨어코튼 펀칭 카라 니트 [아이보리]","[회원추천] (남자 171cm/68kg) 기준

                                적당함 L Size 구매","4.8","","","6천 개 이상","8,280","75,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117298-122137","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/1387529","슬릿 넥 피케 폴로 셔츠 [머쉬룸]","[회원추천] (남자 178cm/70kg) 기준

                                작음 L Size 구매","4.8","","","3.6천 개 이상","4,501","25,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662117270-121240","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/1020313","오픈카라 티셔츠 [BEIGE]","[회원추천] (남자 176cm/63kg) 기준

                                적당함 M Size 구매","4.7","","","300개 이상","3,374","42,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662117228-120566","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2560853","[SET] 아치로고 카라 맨투맨 셋업_네이비","[업체추천] (여자 162cm/55kg) 기준

                                적당함 M Size","4.8","","","400개 이상","1,270","104,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117354-123900","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2620773","NSW 클럽 매치업 카라티 CJ4457-010","[회원추천] (남자 178cm/77kg) 기준

                                적당함 블랙 L(100) Size 구매","4.9","","","1.2천 개 이상","4,049","59,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662117345-123588","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2469148","[UNISEX]플라워 베어 스마일 자수 화이트 클립 피케 반팔티셔츠_블랙","[회원추천] (남자 175cm/76kg) 기준

                                적당함 BLACK L Size 구매","4.8","","","1.5천 개 이상","3,208","51,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117351-123860","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/763197","오픈카라 티셔츠 [BLACK]","[회원추천] (남자 182cm/78kg) 기준

                                적당함 XL Size 구매","4.7","","","1.9천 개 이상","6,594","42,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662117354-123891","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2620773","NSW 클럽 매치업 카라티 CJ4457-010","[회원추천] (남자 182cm/72kg) 기준

                                적당함 블랙 M(95) Size 구매","4.9","","","1.2천 개 이상","4,049","59,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662117323-122984","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/855195","원버튼 더블 폴로 셔츠_BLACK","[회원추천] (남자 165cm/68kg) 기준

                                적당함 2 Size 구매","4.8","","","3.8천 개 이상","12,106","59,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662117373-124398","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2090757","오버사이즈 피케 스웨트셔츠 블랙","[회원추천] (남자 177cm/73kg) 기준

                                적당함 M Size 구매","4.8","","","4.2천 개 이상","5,628","49,600원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117370-124333","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2477673","[미나브X깡스타일리스트] 퓨어코튼 펀칭 카라 니트 [아이보리]","[회원추천] (남자 175cm/64kg) 기준

                                적당함 L Size 구매","4.8","","","6천 개 이상","8,280","75,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117257-120943","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2632015","NSW 클럽 매치업 카라티 CJ4457-100","[회원추천] (남자 170cm/55kg) 기준

                                적당함 화이트 L(100) Size 구매","4.9","","","400개 이상","1,435","59,000원","","","","","","","23세 이하
,
남성
에게 인기 많은 상품","남"
"1662117276-121456","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/1911513","핀스 오버핏 카라 반팔티 네이비 YHST2354","[회원추천] (남자 184cm/82kg) 기준

                                큼 네이비 L Size 구매","4.7","","","900개 이상","969","28,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117380-124606","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/1419083","오픈 칼라 폴로 셔츠 [블랙]","[회원추천] (남자 170cm/70kg) 기준

                                적당함 L Size 구매","4.7","","","2.2천 개 이상","4,247","23,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117364-124178","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/2697155","[SORONA] 블랙 벌룬핏 카라 맨투맨 IETS2F108BK","[회원추천] (남자 179cm/78kg) 기준

                                큼 110 Size 구매","4.9","","","700개 이상","1,830","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117335-123360","https://www.musinsa.com/category/001003","","https://www.musinsa.com/app/goods/1451220","쿨 소프트 숏 슬리브 카라 니트 빈티지브라운","[회원추천] (남자 171cm/66kg) 기준

                                적당함 M Size 구매","4.8","","","1.4천 개 이상","2,879","49,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
