web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662116914-117418","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/2500379","와이드 스트링 하프 셔츠 _Sand Gray","[회원추천] (여자 172cm/65kg) 기준

                                적당함 S Size 구매","4.8","","","5.9천 개 이상","11,077","49,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116800-115236","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/2065712","LAUNDRY SHIRT (SKY BLUE)","[회원추천] (남자 173cm/67kg) 기준

                                큼 L Size 구매","4.9","","","7천 개 이상","5,668","62,000원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662116943-117856","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/859956","Fluff Mood Check shirt S24 Navy","[회원추천] (남자 175cm/78kg) 기준

                                적당함 L Size 구매","4.8","","","8.3천 개 이상","49,090","68,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116958-118164","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/983819","릴렉스 핏 실키 셔츠 [블랙]","[회원추천] (남자 176cm/75kg) 기준

                                적당함 L Size 구매","4.8","","","9.1천 개 이상","10,169","23,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116953-118103","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/1067420","루즈핏 오픈카라 텐셀 린넨 셔츠 [블랙]","[회원추천] (남자 180cm/68kg) 기준

                                적당함 L Size 구매","4.8","","","4.1천 개 이상","14,744","60,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116992-118907","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/1336290","솔리드 옥스포드 오버셔츠(화이트)","[회원추천] (남자 180cm/85kg) 기준

                                적당함 L Size 구매","4.8","","","2만 개 이상","36,847","67,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116806-115348","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/1550594","C 로고 옥스포드 스트라이프 셔츠 그레이","[회원추천] (남자 174cm/68kg) 기준

                                적당함 M Size 구매","4.8","","","4.4천 개 이상","10,026","79,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117036-119702","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/2591897","[Package]시티보이 빅오버 옥스포드 반팔 셔츠_6color","[회원추천] (여자 155cm/40kg) 기준

                                큼 S [여성전용 프리사이즈] Sky Blue Size 구매","4.8","","","1.5만 개 이상","15,527","90,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662117019-119407","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/854337","릴렉스 핏 옥스포드 셔츠 [화이트]","[회원추천] (남자 172cm/66kg) 기준

                                큼 L Size 구매","4.8","","","1.3만 개 이상","12,980","24,900원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116879-116725","https://www.musinsa.com/category/001002","","https://www.musinsa.com/app/goods/2542273","쿨링 데님 루즈 반팔 셔츠 블랙","[회원추천] (남자 176cm/79kg) 기준

                                적당함 2 Size 구매","4.7","","","1.9천 개 이상","4,619","42,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
