web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662116482-110581","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/1920860","릴렉스드 슬리브리스 탑 [블랙]","[회원추천] (남자 178cm/77kg) 기준

                                큼 2XL Size 구매","4.9","","","2.9천 개 이상","1,156","15,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662116275-106892","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/2533575","WOMEN 이너 나시 탱크탑  레이어드 티 [BLACK]","[회원추천] (여자 168cm/57kg) 기준

                                적당함 FREE Size 구매","4.6","","","300개 이상","1,884","23,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662116353-107933","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/1412388","에센셜 수피마 슬리브리스 블랙","[회원추천] (남자 177cm/60kg) 기준

                                큼 46 Size 구매","4.8","","","700개 이상","1,257","38,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662116237-106446","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/1951456","릴렉스드 슬리브리스 탑 [그레이]","[회원추천] (남자 173cm/72kg) 기준

                                적당함 L Size 구매","4.9","","","200개 이상","120","15,900원","","","","","","","24~28세
,
남성
에게 인기 많은 상품","남"
"1662116468-110250","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/552760","[패키지] 레이어드 롱나시 패키지(HJST2072)","[회원추천] (남자 180cm/90kg) 기준

                                적당함 화이트 M Size 구매","4.6","","","4천 개 이상","7,448","35,800원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116459-110053","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/780467","[UNISEX] 메쉬쿨론 서프 슬리브리스 오프화이트","[회원추천] (남자 177cm/78kg) 기준

                                적당함 XL Size 구매","4.7","","","1.5천 개 이상","1,876","35,000원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662116350-107754","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/1507036","레전드 2.0 SL 민소매 나시티 (블랙)","[회원추천] (남자 174cm/64kg) 기준

                                적당함 105(XL) Size 구매","4.8","","","200개 이상","1,018","55,000원","","","","","","","19~28세
,
남성
에게 인기 많은 상품","남"
"1662116439-109728","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/1452270","우먼즈 베이식 슬리브리스 탑 [화이트]","[회원추천] (여자 171cm/59kg) 기준

                                적당함 L Size 구매","4.8","","","2.6천 개 이상","3,366","10,900원","","","","","","","40세 이상
,
여성
에게 인기 많은 상품","여"
"1662116360-108075","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/1466056","올라운드 트레이닝 슬리브리스 탑 [다크 그레이]","[회원추천] (남자 178cm/72kg) 기준

                                적당함 L Size 구매","4.8","","","400개 이상","404","17,900원","","","","","","","24~33세
,
남성
에게 인기 많은 상품","남"
"1662116347-107719","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/1917577","[세트상품] 스퀘어 넥 숏 슬리브리스 3color","[회원추천] (여자 152cm/50kg) 기준

                                적당함 화이트 FREE Size 구매","4.7","","","600개 이상","2,119","30,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
"1662116385-108730","https://www.musinsa.com/category/001011","","https://www.musinsa.com/app/goods/2027738","스퀘어 넥 니트 슬리브리스_블랙","[회원추천] (여자 175cm/63kg) 기준

                                적당함 FREE Size 구매","4.6","","","2.3천 개 이상","6,471","39,000원","","","","","","","19~28세
,
여성
에게 인기 많은 상품","여"
